metric_name,metric_id,kind,business_question,formula,numerator,denominator,data_source,population,sample_size,evidence_type,limitations,interpretation_rule
Ownly orders in last 4 weeks (Hyderabad orderers),K73,KPI,Is Ownly in the actual rotation?,numerator / denominator,0.0,40,Ownly Survey.csv,Hyderabad respondents who ordered food in last 4 weeks,40,SURVEY — STATED BEHAVIOUR,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",Observed share of recent orders on Ownly in this sample
Would keep using after the intro offer ends (top-2 box),K74,KPI,Does price-led trial look like it becomes a habit?,numerator / denominator,16.0,46,Ownly Survey.csv,"Hyderabad eligible, after concept exposure",46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",STATED INTENT PROXY - not observed retention
Believe a new app's low prices will rise once popular,K75,KPI,Is the price promise believed?,numerator / denominator,41.0,46,Ownly Survey.csv,Hyderabad eligible,46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Will trade speed for INR 30,K80,KPI,Will users wait 15 minutes longer to save INR 30?,numerator / denominator,39.0,46,Ownly Survey.csv,Hyderabad eligible shown the paired choice,46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Will trade reliability for INR 30,K81,KPI,Will users accept 3-in-10 late instead of 1-in-10 to save INR 30?,numerator / denominator,31.0,46,Ownly Survey.csv,Hyderabad eligible shown the paired choice,46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Will trade usual restaurants for INR 30,K82,KPI,Will users give up most usual restaurants to save INR 30?,numerator / denominator,15.0,46,Ownly Survey.csv,Hyderabad eligible shown the paired choice,46,SURVEY — STATED PREFERENCE,"Stated preference is not behaviour; audit is n=4 matched baskets, one slot, one address",
Price Win Rate (structural),MM1,MARKETING METRIC,"On list price plus fees, Ownly wins every matched basket",matched baskets where Ownly final payable is lowest / all matched baskets,4.0,4,audit_pairs.csv,audit_pairs.csv,4,PRIMARY OBSERVED DATA,"n=4 matched baskets, one slot, one address. Directional.","On list price plus fees, Ownly wins every matched basket"
Median Basket Saving (structural),MM2,MARKETING METRIC,Median 30.5% cheaper before any offer,median(cheapest incumbent final payable - Ownly final payable),,4,audit_pairs.csv,audit_pairs.csv,4,PRIMARY OBSERVED DATA,Excludes incumbent memberships and coupons.,Median 30.5% cheaper before any offer
Offer Reversal Rate,MM3,MARKETING METRIC,Share of Ownly's structural price wins that incumbent coupons erase,baskets Ownly wins on list+fees but loses after incumbent offers / matched baskets,2.0,4,audit_pairs.csv,audit_pairs.csv,4,PRIMARY OBSERVED DATA,Ownly held a new-account intro offer; incumbents held memberships. Both views reported.,Share of Ownly's structural price wins that incumbent coupons erase
Membership Erosion Rate (custom),MM4,MARKETING METRIC,"Isolates how much of Ownly's edge a subscription alone removes, before any coupon. Good indicator because a membership is a STANDING benefit (it applies to every order), whereas a coupon is episodic - so this is the durable half of the erosion.",baskets Ownly wins on list+fees but loses once the incumbent MEMBERSHIP benefit alone applies / matched baskets (no coupon involved),1.0,4,audit_pairs.csv,audit_pairs.csv,4,PRIMARY OBSERVED DATA,n=4. Zomato Gold free delivery observed on every Zomato list capture in this slot.,"Isolates how much of Ownly's edge a subscription alone removes, before any coupon. Good indicator because a membership is a STANDING benefit (it applies to every order), whereas a coupon is episodic - so this is the durable half of the erosion."
Switching Reach @ observed structural saving (INR 114),MM5,MARKETING METRIC,Share of threshold-giving respondents whose bar is cleared by the observed INR 114 saving [95% CI 90-100%],respondents whose stated required recurring saving <= observed median structural saving / respondents giving a rupee threshold,35.0,35,Ownly Survey.csv + audit_pairs.csv,Ownly Survey.csv + audit_pairs.csv,35,SURVEY — STATED PREFERENCE x PRIMARY OBSERVED DATA,"Denominator excludes 'no amount' and 'don't know'. Stated threshold, not observed switching.",Share of threshold-giving respondents whose bar is cleared by the observed INR 114 saving [95% CI 90-100%]
Switching Reach @ observed wallet saving (INR -28),MM5b,MARKETING METRIC,"After incumbent offers the median saving is INR -28 (Ownly DEARER), so no stated threshold is cleared","same numerator rule, using the AFTER OFFER median saving",0.0,35,Ownly Survey.csv + audit_pairs.csv,Ownly Survey.csv + audit_pairs.csv,35,SURVEY — STATED PREFERENCE x PRIMARY OBSERVED DATA,A negative saving cannot clear any positive threshold.,"After incumbent offers the median saving is INR -28 (Ownly DEARER), so no stated threshold is cleared"
Assortment Barrier Rate,MM6,MARKETING METRIC,Share who will NOT give up their usual restaurants for INR 30 [95% CI 53-79%],respondents paying the INR 30 premium to keep most usual restaurants / respondents shown the item,31.0,46,Ownly Survey.csv,Ownly Survey.csv,46,SURVEY — STATED PREFERENCE,"Stated choice on a constructed pair, not observed behaviour.",Share who will NOT give up their usual restaurants for INR 30 [95% CI 53-79%]
Incumbent Lock-in Rate,MM7,MARKETING METRIC,[95% CI 69-91%] These respondents never see the list-price view,membership holders / eligible respondents,38.0,46,Ownly Survey.csv,Ownly Survey.csv,46,SURVEY — STATED BEHAVIOUR,"Membership held, not membership actively used.",[95% CI 69-91%] These respondents never see the list-price view
Rapido Discovery Gap,MM8,MARKETING METRIC,[95% CI 70-93%] Distribution exists; discovery largely does not,recent Rapido users who have NOT noticed food ordering / recent Rapido users,33.0,39,Ownly Survey.csv,Ownly Survey.csv,39,SURVEY — STATED BEHAVIOUR,'Not sure' counted as not-noticed. Excludes non-users of Rapido.,[95% CI 70-93%] Distribution exists; discovery largely does not
Stated Trial-to-Repeat Intent Gap,MM9,MARKETING METRIC,Trial intent 78% vs post-offer continuation 35% -> 43pp drop,(% top-2 likely to TRY the chosen proposition) - (% top-2 likely to CONTINUE after the intro offer ends),,46,Ownly Survey.csv,Ownly Survey.csv,46,SURVEY — STATED PREFERENCE,STATED-INTENT PROXY. Not observed retention. Two different question framings.,Trial intent 78% vs post-offer continuation 35% -> 43pp drop
Fee Load Advantage (custom),MM10,MARKETING METRIC,"Ownly's structural edge expressed as the share of the bill that is NOT food. Good indicator because it is the one advantage Ownly controls directly: it survives without subsidy, unlike a discount, and it is invisible to the customer unless stated - which links it to the communication problem.",median incumbent non-food share of bill - median Ownly non-food share,,37,audit_clean.csv,audit_clean.csv,37,PRIMARY OBSERVED DATA,Median across priced captures; excludes menu-price differences.,"Ownly's structural edge expressed as the share of the bill that is NOT food. Good indicator because it is the one advantage Ownly controls directly: it survives without subsidy, unlike a discount, and it is invisible to the customer unless stated - which links it to the communication problem."
