KPI_ID,KPI_Name,KPI_Layer,Business_Question,Why_It_Matters,Exact_Formula,Numerator,Denominator,Unit,Primary_or_Guardrail,Actual_Company_Metric_or_Proxy,Data_Source,Source_File,Source_Field_or_Question,Geography,Segment,Can_Calculate_Now,Data_Gap,Collection_Action,Owner,Statistical_Test,Dashboard_Visual,Caveat,Decision_Enabled,Priority_P0_P1_P2
K20,Median matched-basket saving % vs cheaper incumbent,2 Value,Is Ownly actually cheaper for the same basket at the same time?,Guardrail G1: affordability claim must be real,"median over matched sets of (min(swiggy,zomato final_payable) - ownly final_payable) / min(swiggy,zomato)",Rs saving per matched set,Cheaper incumbent final payable,% (and Rs),Guardrail G1,Observed (our audit),Price audit (audit-lite),06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),final_payable; platform; slot; restaurant_name; basket_id,Gachibowli drop point DP1,slot (lunch/dinner); chain/local,Yes - computed 2026-09-17 from slot 1,CLOSED 2026-09-17 by slot 1: +30.5% no offers / -13.9% with offers (n=4 matched sets),"Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3 collect; Claude compute,"Bootstrap CI clustered by restaurant (10k, seed 20260914)",Price waterfall; savings dot plot (Page 5),One drop point; account state and coupons vary; small n,KEEP/ADAPT/DROP price as lead claim,P0
K21,Ownly win rate,2 Value,In what share of matched baskets is Ownly cheapest?,Consistency of the price advantage,count(ownly < cheaper incumbent - 5) / matched sets; ties within Rs5,Sets Ownly cheapest by >Rs5,Matched sets with all platforms listed,%,Supporting,Observed,Price audit (audit-lite),06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),final_payable,DP1,slot,Yes - computed 2026-09-17 from slot 1,CLOSED 2026-09-17 by slot 1: 4/4 no offers; 2/4 with offers (n=4),"Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3; Claude,Wilson CI,Stat tile + dot plot,Small n,Repeatable advantage vs occasional,P1
K22,Fee load % of final payable,2 Value,How much of the bill is fees on each platform?,Tests the no-fee proposition directly,"(packaging+platform+delivery+small_cart+surge) / final_payable, median per platform",Sum of fees,Final payable,%,Supporting,Observed,Price audit (audit-lite),06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),fee fields; final_payable,DP1,platform; slot,Yes - computed 2026-09-17 from slot 1,CLOSED 2026-09-17 by slot 1: Ownly 0.0% / Swiggy 3.3% / Zomato 12.7% median fee load,"Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3; Claude,Median + bootstrap CI,Stacked fee decomposition,Taxes excluded from fees,KEEP/ADAPT no-fee message,P1
K23,Switching-threshold coverage,2 Value,Is the observed saving big enough to make people switch?,Connects audit reality to demand,count(S6-Q4 Rs threshold <= K20 median Rs saving) / count(S6-Q4 numeric answer),Respondents whose threshold <= observed saving,Respondents giving a Rs threshold (no-amount/don't-know reported separately),%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv; 06_competitor_audit/audit_captures_PREFILLED.csv,S6-Q4 x audit median,HYD,student/pro,No - designed; 0 responses,Needs both survey and audit,-,Claude,Wilson CI,Threshold histogram with audit saving line,Stated threshold,Whether price alone can drive switching,P1
K24,Rs30 trade-off shares,2 Value,"Do users give up speed, reliability or restaurant choice for Rs30?","Tests 'price gets the first order, reliability the second'","share choosing Rs230 option in S6-Q1, S6-Q2, S6-Q3 separately",Chose cheaper,Answered the item,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S6-Q1; S6-Q2; S6-Q3,"HYD, BLR",student/pro; member; frequent,No - designed; 0 responses,-,-,Claude,Wilson CI vs 50%; chi-square by segment,Grouped bars with 50% line (Page 3/4),Hypothetical choices at one price point,Lead with price or reliability/supply,P0
K25,Fee pain on last bill,2 Value,How many users felt extra charges were too much?,Market for the no-fee promise,count(S5-Q4 = extra charges too much) / count(S5-Q4 answered),Fee pain,Recent orderers answering,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S5-Q4,"HYD, BLR",member; student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI,100% stacked bar,Anchored on last order only,No-fee message salience,P1
K26,Online/offline menu parity,2 Value,Are Ownly menu prices equal to restaurant prices?,Direct test of 'no inflated prices',count(online item price = offline price) / items checked,Items at parity,Items with verified offline price,%,Supporting,Observed,Audit (full schema only),06_competitor_audit/audit_schema.csv,offline_subtotal_verified,DP1,-,No - audit-lite has no offline price field,Field dropped from audit-lite,Needs one dated in-store menu photo for 3-5 audit restaurants; audit-lite has no verified offline price field.,-,-,-,-,Marketing claim check,P2
K30,Trier repeat rate,3 Retention,Do people who try Ownly order again?,Core of 'what earns the second order',count(S4-Q3 + S12-Q4 >= 2) / count(status = ordered),Triers with >=2 Ownly orders in 8 wks,Ever ordered,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S4-Q3; S12-Q4; S8-Q1,"HYD, BLR",offer first order (A2); failure (A3); student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI; Newcombe CI HYD vs BLR,KPI card; cohort split (Page 4 right),Self-report; 8-week window,Retention-first vs acquisition-first GTM,P0
K31,Still-ordering rate (BLR cohort),3 Retention,"Of users who started 4+ weeks ago, how many ordered in the last 4 weeks?",Closest to course retention rate,count(S12-Q3 = earlier AND S4-Q3 > 0) / count(S12-Q3 = earlier),Earlier triers still ordering,Triers whose first order was >4 wks ago,%,Supporting,Project proxy (course retention rate),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S12-Q3; S4-Q3,BLR (HYD too new),offer (A2); failure (A3),No - designed; 0 responses,Hyderabad base ~0 by construction,-,Claude,Wilson CI,Stat tile (Page 2 benchmark),Survivor/recall bias,Benchmark of what retention looks like where the playbook ran,P1
K32,Repeat-without-promo intent,3 Retention,Would users keep using the chosen service after the Rs100 offer ends?,Stated durability of promo-acquired demand,"count(S7-Q5 in {Probably, Definitely}) / count(S7-Q5 answered)",Top-2 box,Answered,%,Primary,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S7-Q5,"HYD, BLR",P vs Q choosers; student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI; compare to K15 top-2 trial intent,KPI card; promo gap bars (Page 8),Hypothetical; top-2 box overstates,Promotion KEEP/MODIFY,P0
K33,Unit share of requirements (Ownly buyers),3 Retention,"Among Ownly buyers, what share of their delivery orders go to Ownly?",Course share-of-requirements; shows whether Ownly is primary or occasional,sum(S4-Q3) / sum(S4-Q1..Q4) over respondents with S4-Q3 > 0,Ownly orders,All delivery orders by Ownly buyers,%,Primary,Project proxy (course SoR),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S4-Q1..Q4,"HYD, BLR",student/pro; member,No - designed; 0 responses,-,-,Claude,Ratio estimate with respondent-level bootstrap CI,KPI card,Self-reported counts; heavy users dominate the ratio,Whether Ownly becomes a main app or a side app,P0
K34,PMF score (Sean Ellis),3 Retention,Would users be very disappointed without Ownly?,Standard product-market-fit read,count(S12-Q6 = Very disappointed) / count(answered),Very disappointed,Ownly users,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S12-Q6,"HYD, BLR",city,No - designed; 0 responses,-,-,Claude,Wilson CI; compare to 40% benchmark,Stat tile,40% benchmark is a heuristic,Confidence the proposition is valued,P1
K35,Incumbent substitution,3 Retention,Do Ownly orders replace Swiggy/Zomato orders or create new ones?,Aligns with Rapido's '100M people ordering' thesis,count(S12-Q5 = same on Swiggy/Zomato) / count(answered),Would have used incumbent,Ownly users,%,Supporting,Project proxy (reframed cannibalization),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S12-Q5,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI,Ranked bars,Counterfactual recall,Market-expansion vs share-steal narrative,P1
K36,Drop-off and one-change drivers,3 Retention,What would make users order more / why they order less?,Second-order levers,share per option S12-Q7; BLR S23 order-less reason,Choosing option,Ownly users (BLR users for order-less),%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S12-Q7; S23 order-less,"HYD, BLR",city,No - designed; 0 responses,-,-,Claude,Wilson CI,Ranked bars (Page 4 right),Single choice,Retention roadmap,P1
K37,Heavy-usage index,3 Retention,Are Ownly buyers heavier delivery users than average?,Course metric; tells if Ownly attracts heavy or light users,mean(S4 total) among Ownly buyers / mean(S4 total) among all orderers,"Mean orders, Ownly buyers","Mean orders, all orderers",index,Context,Project proxy (course),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S4-Q1..Q4,"HYD, BLR",-,No - designed; 0 responses,-,-,Claude,Bootstrap CI,Table,Self-report,Targeting heavy vs light users,P2
K40,Target-restaurant coverage on Ownly,4 Supply,Are the restaurants target users want on Ownly?,Guardrail G3: supply before acquisition spend,count(frame on_ownly = yes) / count(frame restaurants),Frame restaurants listed on Ownly,Restaurants in audit frame (10),%,Guardrail G3,Observed (our audit),Restaurant frame,06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),on_ownly,Gachibowli DP1,chain/local,Yes - computed 2026-09-17 from slot 1,CLOSED 2026-09-17 by slot 1: 9/10 = 90% of frame listed on Ownly at DP1,"Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3; Claude,Wilson CI (small n: report k/n),Coverage matrix (Page 6),"Frame of 10 chosen by us, not a random sample",Fix supply before heavy acquisition,P0
K41,Local vs chain coverage gap,4 Supply,Is Ownly weaker on local favourites than chains?,Tests Service Q localisation premise,coverage(local) - coverage(chain),-,-,pp,Supporting,Observed,Restaurant frame,06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),chain_or_local; on_ownly,DP1,-,Yes - computed 2026-09-17 from slot 1,"CLOSED 2026-09-17 by slot 1: +20 pp (local 100%, chain 80%)","Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3; Claude,Report k/n (n too small for test),Split bars,n=10,Supply localisation priority,P1
K42,Cross-platform availability overlap,4 Supply,"When a restaurant is on an incumbent, is it also on Ownly and open?","Operational availability, not just listing","count(listed&open on ownly AND on >=1 incumbent) / count(listed&open on >=1 incumbent), across captures",-,-,%,Supporting,Observed,Price audit (audit-lite),06_competitor_audit/audit_data_slot1.csv (analysis: audit_slot1_results.md 7b),restaurant_listed; restaurant_open; platform,DP1,slot,Yes - computed 2026-09-17 from slot 1,"CLOSED 2026-09-17 by slot 1: 8/9 = 89% overlap; Pizza Hut absent on Ownly, Aanimuthyalu Ownly-only","Slot 1 done (4 matched sets). Slot 2 thu_lunch adds Ownly prices for the local eateries (Murgan Tiffins, Mehfil).",P3; Claude,Wilson CI,Heatmap restaurant x platform,Snapshot at two slots,Supply fix priority,P1
K43,'My restaurants weren't there' barrier share,4 Supply,Is assortment a stated reason for not ordering?,Demand-side view of supply gap,count(S11-Q2 = restaurants weren't there) / count(S11-Q2 answered),-,Opened but didn't order,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S11-Q2,"HYD, BLR",-,No - designed; 0 responses,-,-,Claude,Wilson CI,Ranked bar highlight,Small base,Supply fix priority,P1
K44,Reported restaurant partners,4 Supply,How big is Ownly's supply in Bengaluru?,Context for the playbook,reported count,-,-,count,Context,External reported,Secondary research,01_secondary_research/evidence_table.csv,MediaNama 2026-03-05; Business Today 2026-07-28; ownly.food,BLR,-,Yes (external),Conflicting 20k/22k/25k,-,Claude,None,Timeline annotation (Page 2),Company claims; conflicting,Context only,P2
K50,ETA gap,5 Fulfilment,Is Ownly slower than the cheaper incumbent?,Price-vs-speed trade-off is real only if an ETA gap exists,median over matched sets of ownly eta_mid - cheaper incumbent eta_mid; eta_mid=(min+max)/2,-,Matched sets,minutes,Primary,Observed (shown ETA),Price audit (audit-lite),06_competitor_audit/audit_captures_PREFILLED.csv,eta_min_shown; eta_max_shown,DP1,slot,No - template ready; price fields empty,As K20,As K20,P3; Claude,Bootstrap CI clustered by restaurant,KPI card; savings-vs-ETA scatter (Page 5),"Shown ETA, not actual",Whether ETA blocks the price proposition,P0
K51,Fulfilment failure incidence among triers,5 Fulfilment,"How often do Ownly triers experience late, cancelled, wrong or slow-refund orders?",Guardrail G2: reliability protects repeat demand,count(A3 any failure ticked) / count(A3 answered),Triers with >=1 failure,Ownly users answering A3,%,Guardrail G2,Project proxy,Survey v6 (Google Forms export) + addition A3,08_clean_data/raw/survey_v6_raw.csv,NEW A3 (S12),"HYD, BLR",city,No - question not yet in form,No failure question in v6,Add A3 to S12 (HYD) and S23 (BLR) before fielding,P1 add; Claude compute,Wilson CI,KPI card; cohort split,Self-report; recall of any order,ADAPT to lead with reliability; ops fix before scale,P0
K52,Repeat rate: failure vs no failure,5 Fulfilment,Do failures stop the second order?,Tests 'reliability earns the second order',K30 among A3=None minus K30 among A3=any failure,-,-,pp,Supporting,Project proxy (association),Survey v6 (Google Forms export) + A3,08_clean_data/raw/survey_v6_raw.csv,A3 x S4-Q3/S12-Q4,HYD+BLR pooled,city,No - question not yet in form,As K51,As K51,Claude,Fisher exact; Newcombe CI on difference,Paired bars (Page 4),"Association not causation; reverse causality (more orders, more chances to fail)",Retention lever priority,P1
K53,Fulfilment/support theme share in reviews,5 Fulfilment,What failure themes surface in public reviews?,Issue discovery,count(reviews with theme) / coded reviews,-,37 app reviews; 123 first-hand social posts,%,Context,Issue discovery (not prevalence),Review/social mining,05_review_mining/app_stores/reviews_coded.csv; social/social_coded.csv,primary_theme,Mostly BLR / unknown,-,"Yes (AI-coded, human validation pending)",Human validation not done,P2 validates 37-row sample,P2; Claude,None (descriptive counts),Theme map with caveat banner (Page 6),"Self-selected, negative skew",Hypotheses for what to check,P2
K54,Test orders: actual vs promised,5 Fulfilment,Did test orders arrive as promised?,Anecdotal verification,actual_delivery_min - eta_max_shown per order,-,3 orders,minutes,Context,Observed (anecdotal),Test orders,06_competitor_audit/test_orders_template.csv,eta fields; delivered_ts,DP1,-,No - 0 orders,Rs900 budget unconfirmed,P3 places orders if budget approved,P3,None,Table,n=3,Anecdote only,P2
K60,Rapido usage penetration,6 Distribution,How many target users already use Rapido?,Size of the cross-sell base,count(A1 != Never) / count(eligible),Rapido users,Eligible respondents,%,Supporting,Project proxy,Survey v6 (Google Forms export) + addition A1,08_clean_data/raw/survey_v6_raw.csv,NEW A1 (S3),"HYD, BLR",student/pro,No - question not yet in form,No Rapido usage question in v6,Add A1 to S3 before fielding,P1 add; Claude,Wilson CI,Stat tile (Page 7),-,KEEP/ADAPT Rapido cross-sell,P1
K61,Awareness and trial: Rapido users vs non-users,6 Distribution,Are Rapido users more likely to know and try Ownly?,Tests the distribution advantage thesis,K10 and K01 among A1 != Never minus among A1 = Never,-,-,pp,Supporting,Project proxy (association),Survey v6 (Google Forms export) + A1,08_clean_data/raw/survey_v6_raw.csv,A1 x S8-Q1,"HYD, BLR",city,No - question not yet in form,As K60,As K60,Claude,Two-proportion z / Fisher; Newcombe CI,Paired bars (Page 7),Association only; Rapido integration is BLR-only per public sources,Rapido cross-sell priority in HYD,P1
K62,Discovery via Rapido app,6 Distribution,Where did aware users first hear of Ownly?,Observed discovery channel mix,count(first heard = Inside the Rapido app) / count(answered),-,Aware respondents answering,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S10-Q1; S11-Q1; S12-Q1,"HYD, BLR",city,No - designed; 0 responses,-,-,Claude,Wilson CI; chi-square by city,Ranked bars (Page 7),Recall of first touch,Channel mix for HYD GTM,P1
K63,App-placement first-tap success,6 Distribution,Can users find food inside the Rapido app?,Discoverability hypothesis,count(first tap on food entry) / participants; median seconds,-,Interview participants shown screenshot,count,Context,Qualitative count,Interviews (optional add-on),04_interviews/participant_tracker_v3.csv,NEW optional column,HYD,-,No - not built,Not in any instrument; Rapido integration not confirmed in HYD,Optional 30-second screenshot task in interviews,P2,Counts only,Quote/count card,n<=8; hypothesis only,Whether in-app placement matters,P2
K70,Offer-triggered first order,7 Promotion,How many Ownly first orders used an offer?,Measures subsidised trial,"count(A2 in {first-order discount, other offer}) / count(A2 answered excl. don't remember)",-,Ownly users,%,Supporting,Project proxy,Survey v6 (Google Forms export) + addition A2,08_clean_data/raw/survey_v6_raw.csv,NEW A2 (S12),"HYD, BLR",city; student/pro,No - question not yet in form,No first-order offer question in v6,Add A2 to S12/S23,P1 add; Claude,Wilson CI,Stat tile (Page 8),Recall,Promotion KEEP/MODIFY,P1
K71,Promo-dependency gap,7 Promotion,Do offer-acquired triers repeat less than organic triers?,Guardrail G4: rented vs retained demand,K30 among A2=No minus K30 among A2=Yes (pp),-,-,pp,Guardrail G4,Project proxy (association),Survey v6 (Google Forms export) + A2,08_clean_data/raw/survey_v6_raw.csv,A2 x S4-Q3/S12-Q4,HYD+BLR pooled if cells small,city,No - question not yet in form,As K70,As K70,Claude,Fisher exact; Newcombe CI; practical floor 10pp,Diverging bar (Page 8),Association; offer users may differ in price sensitivity,Promotion KEEP / MODIFY / TARGET / DEPRIORITIZE,P0
K72,Discount as top trial trigger,7 Promotion,Is a first-order discount the top trigger for non-aware users?,Stated promo pull,count(S9-Q1 = discount on first order) / count(S9-Q1 answered),-,Unaware respondents,%,Supporting,Project proxy,Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S9-Q1,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI,Highlighted ranked bar,Stated,Promo vs price-proof message,P1
K73,Game awareness / participation,7 Promotion,Does the Rs50/Rs100 game drive trial?,Master prompt hypothesis,-,-,-,-,Context,Not measurable,None,-,-,-,-,No - no instrument; no public evidence a game exists,Game unverified,"P3 screenshots Ownly/Rapido app; if a game exists, ask in interviews only",P3,-,Evidence note (Page 8),Do not claim a game exists without a dated screenshot,Whether a game section is needed at all,P2
K74,Fake-door bill-compare rate,7 Promotion,Do visitors engage with the price proof?,Higher-intent action beyond click,unique visitors with secondary_intent / unique visitors per arm,-,Unique visitors per arm,%,Supporting,Experiment metric,Fake-door events,07_fake_door events sheet export (apps_script_collector.gs),event_name=secondary_intent,Gachibowli traffic,arm,No - page not deployed,As K13,As K13,P3; Claude,Fisher/z; Newcombe CI,Funnel by arm (Page 1/7),Research disclosure shown first,Strength of price-proof engagement,P1
K90,Reported BLR orders/day and CMGR,9 Context,How fast did the Bengaluru playbook grow?,What we're trying to transfer,(50000/5000)^(1/5) - 1 (Mar to Aug 2026),-,-,%/month,Context,External reported,Secondary research,01_secondary_research/evidence_table.csv,Upstox ~2026-03-26; Storyboard18 2026-08-21,BLR,-,Yes (external),Single upstream source each,-,Claude,None,Timeline chart (Page 2),External estimate; not Ownly-confirmed KPI,Context for ambition,P2
K91,Reported BLR city share,9 Context,What share of Bengaluru orders does Ownly claim?,Scale claim,reported,-,-,%,Context,External reported (company claim),Secondary research,01_secondary_research/evidence_table.csv,Inc42 2026-07-30,BLR,-,Yes (external),-,-,Claude,None,Claims table (Page 2),Company claim,Context,P2
K92,Sample volume-share proxy,9 Context,What share of all respondents' delivery orders go to Ownly?,"Course volume share, sample-based",sum(S4-Q3) / sum(S4-Q1..Q4) over all orderers,Ownly orders,All orders by all recent orderers,%,Supporting,Project proxy (course),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S4-Q1..Q4,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,Bootstrap CI,Stacked share bar (Page 3),Sample not market,Scale of early share vs BLR,P1
K93,App-store ratings,9 Context,How do reviewers rate Ownly?,Context,reported rating and count,-,-,stars,Context,External reported,App stores,05_review_mining/app_stores/listing_stats.csv,rating_value; rating_count,India,-,Yes,Re-verify date,-,Claude,None,Context tile (Page 2),Self-selected,Context,P2
K94,Market penetration (sample),9 Context,What share of target users ordered food online recently?,Course market penetration; denominator for K00,count(S3-Q3 = Yes) / count(eligible),-,Eligible,%,Supporting,Project proxy (course),Survey v6 (Google Forms export),08_clean_data/raw/survey_v6_raw.csv,S3-Q3,"HYD, BLR",student/pro,No - designed; 0 responses,-,-,Claude,Wilson CI,Stat tile,Sample,Context,P1
KX-CAC,CAC,10 Economics,-,Requested in brief,-,-,-,-,Not applicable,NOT CALCULABLE FROM OUR DATA,None,-,-,-,-,No,"No spend, cost, margin or company revenue data; fake-door spend Rs0",Do not collect - outside 3-day scope,-,-,Listed in 'not calculable' panel (Page 10),Never estimate or borrow external figures as observed,None,P2
KX-CPA,CPA,10 Economics,-,Requested in brief,-,-,-,-,Not applicable,NOT CALCULABLE FROM OUR DATA,None,-,-,-,-,No,"No spend, cost, margin or company revenue data; fake-door spend Rs0",Do not collect - outside 3-day scope,-,-,Listed in 'not calculable' panel (Page 10),Never estimate or borrow external figures as observed,None,P2
