form_family,expected_header,variable_name,kind,notes
both,[FEE LADDER ₹50 — paste exact question title],wtp_accept_50,wtp,one section per fee
both,[FEE LADDER ₹60 — paste exact question title],wtp_accept_60,wtp,one section per fee
hyd,"Now that you know it is Ownly from Rapido: if it were available where you are, how likely are you to try it for one of your next few orders?",br_trial_intent,single,
hyd,Now that you know it is Ownly from Rapido: how much would you trust it with your order and payment?,br_trust,single,
hyd,Now that you know it is Ownly from Rapido: how often would you expect orders to arrive on time?,br_expected_reliability,single,
hyd,Does it being from Rapido make you more or less likely to try it?,br_rapido_effect,single,
hyd,Why? (optional),br_rapido_effect_why,text,
both,"In the last 3 months, how often have you taken a Rapido ride (bike, auto or cab)?",dem_rapido_ride_use,single,
both,"Overall, how has your experience with Rapido rides been?",dem_rapido_ride_experience,single,
both,"Before today, had you heard of Ownly (the food-delivery service from Rapido)?",own_aware_aided,single,
both,When did you first hear about it?,own_aware_duration,single,
both,Where did you hear about it? Select all that apply.,own_aware_source,checkbox,
both,Have you ever placed an order on Ownly (in the Ownly app or inside the Rapido app)?,own_tried,single,
both,What are the main reasons you haven't ordered on it? Select up to 3.,own_not_tried_reason,checkbox,
both,"From what you know or have experienced, how much do you trust Ownly with your orders and payments?",own_trust,single,
both,When did you place your first Ownly order?,own_first_order_month,single,
both,What made you place your first Ownly order?,own_first_trial_trigger,single,
both,Why do you choose Ownly when you do? Select up to 3.,own_choose_reasons,checkbox,
both,How many Ownly orders have you placed in the last 4 weeks?,own_orders_4wk,single,
both,"Of all your food-delivery orders in the last 4 weeks, how many were on Ownly?",own_share_of_orders,single,
both,"What was the final amount of your most recent Ownly order? (₹, approximate is fine)",own_last_total,number,
both,"Compared with ordering the same thing on the app you'd otherwise use, your most recent Ownly order was:",own_perceived_savings,single,
both,If you did compare: roughly how many rupees did you save? Type a negative number if Ownly was more expensive. Leave blank if you didn't compare.,own_known_savings,number,
both,How often have your Ownly orders arrived on time?,own_reliability_rating,single,
both,How often did you find the restaurant you wanted on Ownly?,own_found_restaurants,single,
both,How often were your Ownly orders complete and correct?,own_order_accuracy,single,
both,"Compared with the other app you use, Ownly delivery is usually:",own_eta_vs_other,single,
both,"In the last 3 months, did any of these happen with Ownly? Select all that apply.",own_issues_3m,checkbox,
both,Was your most recent Ownly issue resolved to your satisfaction?,own_support_issue_resolved,single,
both,Why haven't you ordered on Ownly recently? Select up to 3.,churn_reduced_reasons,checkbox,
both,When do you still order on another app instead of Ownly? Select up to 3.,own_competitor_when,checkbox,
both,How likely are you to keep ordering on Ownly over the next month?,own_continue_intent,single,
both,"What, if anything, has disappointed you about Ownly?",own_disappointment,text,
both,Where did you find this survey?,meta_found_survey,single,
both,Anything else you'd like to tell us about food delivery? (optional),meta_comments,text,
