KPI ID,Name,Layer,Priority,Guardrail,North Star,Status,Value,Unit,N,CI Low,CI High,Pre-registered formula,Calculation applied,Source file,Source columns,Evidence label,Pre-registered source,Why not computable,Decision it serves
K24,₹30 trade-off shares,Layer 2 · Value / affordability,P0,,No,COMPUTED,92.5,%,40,80.1,97.4,"`share choosing ₹230`, per item.","share choosing the ₹230 option at a constant ₹30 saving, by attribute sacrificed. speed 37/40 = 92.5%; reliability 29/40 = 72.5%; restaurants 14/40 = 35.0%",final_dashboard/data/cleaned_survey.csv,"eta_chose_cheap, rel_chose_cheap, rest_chose_cheap",stated choice.,S6-Q1..Q3.,,"lead with price, or with reliability/supply; tests ""price gets the first order, reliability the second""."
K25,Fee pain on the last bill,Layer 2 · Value / affordability,P1,,No,COMPUTED,38.9,%,36,24.8,55.1,"`count(S5-Q4 = ""No, the extra charges on top were too much"") ÷ answered`","count(bill_fairness = ""No, the extra charges on top were too much"") / answered = 14/36",final_dashboard/data/cleaned_survey.csv,bill_fairness,self-reported perception.,S5-Q4.,,how prominent the no-fee message should be.
K32,Repeat-without-promo intent,Layer 3 · Retention,P0,,No,COMPUTED,25.0,%,40,14.2,40.2,"`count(S7-Q5 ∈ {Probably, Definitely}) ÷ answered`",top-2 box on repeat-without-promo (score ≥ 4 of 5) / answered = 10/40,final_dashboard/data/cleaned_survey.csv,repeat_no_promo_n,stated.,S7-Q5.,,promotion KEEP/MODIFY (read against K15).
K15,"Stated trial intent, P vs Q (top-2 box)",Layer 1 · Acquisition,P1,,No,COMPUTED,92.5,%,40,80.1,97.4,`share(S7-Q1 ∈ top-2)` vs `share(S7-Q2 ∈ top-2)`,top-2 box trial intent on the better of Service P / Service Q per respondent = 37/40,final_dashboard/data/cleaned_survey.csv,"prop_P_intent_n, prop_Q_intent_n",stated.,"S7-Q1, S7-Q2.",,confidence in the direction of the H₀ result.
K30,Trier repeat rate,Layer 3 · Retention,P0,,No,NOT COMPUTABLE,,%,2,,,`count(S4-Q3 + S12-Q4 ≥ 2) ÷ count(ordered)`,—,final_dashboard/data/cleaned_survey.csv,"n_ownly, first_order_when",self-reported behaviour.,"S4-Q3, S12-Q4, S8-Q1.","Trier repeat rate needs repeat behaviour among triers. Only 2 catchment respondents report an Ownly order, and one of those gives contradictory order counts. Base too small and internally inconsistent.",GTM focus on retention vs acquisition.
K33,Unit share of requirements,Layer 3 · Retention,P0,,No,NOT COMPUTABLE,,%,,,,`Σ S4-Q3 ÷ Σ(S4-Q1..Q4)` over respondents with S4-Q3 > 0.,—,final_dashboard/data/cleaned_survey.csv,"n_ownly, total_orders_4wk",self-reported behaviour.,S4.,Unit share of requirements among Ownly users requires a usable Ownly order count; the only two are unusable.,position Ownly as a main app or an occasional deal app.
K40,Target-restaurant coverage,Layer 4 · Supply,P0,G3,No,COMPUTED,90.0,%,10,59.6,98.2,`count(on_ownly = yes) ÷ 10`,count(on_ownly = yes) / 10 audit-frame restaurants = 9/10,final_dashboard/data/audit_coverage.csv,"restaurant_display, on_ownly",observed.,restaurant frame.,,supply-first vs demand-first.
K41,Local vs chain coverage gap,Layer 4 · Supply,P1,,No,NOT COMPUTABLE,,pp,,,,`coverage(local) − coverage(chain)`,—,final_dashboard/data/audit_coverage.csv,—,observed.,frame.,"coverage(local) − coverage(chain) requires a local/chain flag on the restaurant frame. audit_coverage.csv carries no such column, so the gap cannot be computed without re-coding the frame.",Service Q feasibility.
K42,Cross-platform availability overlap,Layer 4 · Supply,P1,,No,COMPUTED,88.9,%,9,56.5,98.0,`count(open on Ownly AND on ≥1 incumbent) ÷ count(open on ≥1 incumbent)`,count(on Ownly AND on ≥1 incumbent) / count(on Ownly) = 8/9,final_dashboard/data/audit_coverage.csv,"on_ownly, on_incumbent",observed.,"audit `restaurant_listed`, `restaurant_open`.",,operational supply fix.
K43,"""My restaurants weren't there"" barrier share",Layer 4 · Supply,P1,,No,COMPUTED (OPTION ABSENT),0.0,%,10,0,27.8,"`count(S11-Q2 = ""My restaurants weren't there"") ÷ answered`",count(reason mentions restaurants) / answered = 0/10,final_dashboard/data/cleaned_survey.csv,not_opened_reason,stated.,S11-Q2.,"No respondent selected a missing-restaurants reason. The live instrument's answer list for this question does not appear to offer ""My restaurants weren't there"", so a 0% here measures the option list, not the barrier. Treated as NOT INFORMATIVE for the rule.",supply priority.
K50,ETA gap,Layer 5 · Fulfilment,P0,,No,COMPUTED,17.0,min,39,,,"median of `Ownly eta_mid − cheaper incumbent eta_mid`, where `eta_mid = (min + max) ÷ 2`",median(Ownly shown ETA) − median(incumbent shown ETA) = 39.5 − 22.5 = +17.0 min,final_dashboard/data/audit_clean.csv,"platform, eta_mid",observed (*shown* ETA).,audit.,,whether ETA blocks the price proposition.
K51,Fulfilment failure incidence among triers,Layer 5 · Fulfilment,P0,G2,No,NOT COMPUTABLE,,%,,,,"`count(A3 ≠ ""None of these"") ÷ answered`",—,—,—,self-reported.,**new question A3**.,The pre-registered source is 'new question A3' (15+ min late / cancelled / missing or wrong item / refund or support over 2 days). No such question exists in the live v3 instrument — there is no A3 variable in cleaned_survey.csv. Guardrail G2 therefore cannot be evaluated.,ADAPT (lead with and fix reliability) vs KEEP.
K52,Repeat rate by failure experience,Layer 5 · Fulfilment,P1,,No,NOT COMPUTABLE,,pp,,,,`K30(A3 = none) − K30(A3 = any)`,—,—,—,association.,A3 × S4/S12.,Repeat rate by failure experience depends on K51 (absent) and on a usable trier base (n=2).,the retention lever.
K60,Rapido usage penetration,Layer 6 · Distribution,P1,,No,COMPUTED,60.0,%,40,44.6,73.7,`count(A1 ≠ Never) ÷ eligible`,count(rapido_freq not in blank/Never) / catchment = 24/40,final_dashboard/data/cleaned_survey.csv,rapido_freq,self-reported.,**new question A1**.,,Rapido cross-sell priority.
K62,Discovery via the Rapido app,Layer 6 · Distribution,P1,,No,COMPUTED,15.2,%,33,6.7,30.9,"`count(first heard = ""Inside the Rapido app"") ÷ answered`","count(rapido_food_seen = ""Yes"") / answered excluding ""I don't use the Rapido app"" = 5/33. ""Not sure"" counted as not noticed, per the project convention",final_dashboard/data/cleaned_survey.csv,rapido_food_seen,self-reported.,S10/S11/S12-Q1.,,Hyderabad channel mix.
K61,"Awareness and trial gap, Rapido users vs non-users",Layer 6 · Distribution,P1,,No,COMPUTED (WIDE),-22.9,pp,40,-58.9,20.1,`K(A1 ≠ Never) − K(A1 = Never)`,awareness(Rapido users) − awareness(non-users) = 33.3% (8/24) − 56.2% (9/16) = -22.9 pp. Conservative interval from the difference of the two Wilson bounds,final_dashboard/data/cleaned_survey.csv,"rapido_freq, ownly_aware",association.,A1 × S8.,"Association, not causation. Both subgroups are small, so the interval on the difference is very wide.",KEEP/ADAPT Rapido cross-sell.
K72,Discount as top trial trigger,Layer 7 · Promotion,P1,,No,COMPUTED,8.7,%,23,2.4,26.8,`count ÷ S9-Q1 answered`,"count(trigger = ""A discount on my first order"") / answered = 2/23. For comparison, ""Seeing it's cheaper than Swiggy/Zomato"" = 8/23 = 34.8% and is the top trigger",final_dashboard/data/cleaned_survey.csv,ownly_trigger,stated.,S9-Q1.,,promo vs price-proof message.
K70,Offer-triggered first order,Layer 7 · Promotion,P1,,No,NOT COMPUTABLE,,%,2,,,"`count(A2 ∈ Yes options) ÷ count(A2 answered, excluding ""Don't remember"")`",—,final_dashboard/data/cleaned_survey.csv,ownly_trigger among triers,self-reported.,**new question A2**.,"Offer-triggered FIRST ORDER is defined among triers. Only 2 catchment respondents ordered; ownly_trigger is answered by non-triers as a hypothetical, so it cannot stand in.",how much trial depends on promotion.
K71,Promo-dependency gap,Layer 7 · Promotion,P0,G4,No,NOT COMPUTABLE,,pp,,,,`K30(A2 = No) − K30(A2 = Yes)` in pp.,—,—,—,association.,A2 × S4/S12.,Promo-dependency gap = repeat rate of organic triers − repeat rate of offer-acquired triers. Requires question A2 (acquisition channel) crossed with repeat behaviour among triers. A2 is absent from the live instrument and the trier base is 2. Guardrail G4 cannot be evaluated.,promotion KEEP / MODIFY / TARGET / DEPRIORITIZE.
