kpi_id,layer,name,priority,guardrail,north_star,definition,formula,source,evidence_level,denominator,decision,high_means,low_means,bias
K24,Layer 2 · Value / affordability,₹30 trade-off shares,P0,,No,"share taking ₹30 off in exchange for 15 minutes slower (S6-Q1), 3-in-10 late instead of 1-in-10 (S6-Q2), or few of their usual restaurants (S6-Q3).","`share choosing ₹230`, per item.",S6-Q1..Q3.,stated choice.,answered.,"lead with price, or with reliability/supply; tests ""price gets the first order, reliability the second"".",,,one price point; hypothetical.
K25,Layer 2 · Value / affordability,Fee pain on the last bill,P1,,No,share saying the extra charges on their last order were too much.,"`count(S5-Q4 = ""No, the extra charges on top were too much"") ÷ answered`",S5-Q4.,self-reported perception.,recent orderers.,how prominent the no-fee message should be.,the no-fee promise addresses a felt pain.,fees are not top of mind.,anchored on one order.
K30,Layer 3 · Retention,Trier repeat rate,P0,,No,"of everyone who has ordered on Ownly, share with at least 2 Ownly orders in the last 8 weeks.",`count(S4-Q3 + S12-Q4 ≥ 2) ÷ count(ordered)`,"S4-Q3, S12-Q4, S8-Q1.",self-reported behaviour.,triers.,GTM focus on retention vs acquisition.,the second order is earned.,trial doesn't stick.,"an older trier whose first order predates the 8-week window with no recent orders counts as not repeating, which is intended."
K31,Layer 3 · Retention,"Still-ordering rate, Bengaluru cohort",P1,,No,"of users whose first order was more than 4 weeks ago, share who ordered in the last 4 weeks (course retention rate, as a proxy).",`count(S12-Q3 = earlier AND S4-Q3 > 0) ÷ count(S12-Q3 = earlier)`,"S12-Q3, S4-Q3.",self-reported.,earlier triers.,the benchmark for what retention looks like where the playbook ran.,Bengaluru retention holds.,Bengaluru churn is a warning for Hyderabad.,in Hyderabad the base is about 0 by construction; survivor bias.
K32,Layer 3 · Retention,Repeat-without-promo intent,P0,,No,share who'd keep using the service they picked once a ₹100 first-order offer ends.,"`count(S7-Q5 ∈ {Probably, Definitely}) ÷ answered`",S7-Q5.,stated.,answered.,promotion KEEP/MODIFY (read against K15).,demand survives the subsidy.,promo-rented demand.,top-2 box inflates.
K33,Layer 3 · Retention,Unit share of requirements,P0,,No,"among people who ordered on Ownly in the last 4 weeks, Ownly's share of their delivery orders.",`Σ S4-Q3 ÷ Σ(S4-Q1..Q4)` over respondents with S4-Q3 > 0.,S4.,self-reported behaviour.,all orders by Ownly buyers.,position Ownly as a main app or an occasional deal app.,Ownly is becoming a main app.,it is a side app used for occasional deals.,heavy users dominate a ratio of sums; counts are recalled.
K34,Layer 3 · Retention,PMF score,P1,,No,share of users who'd be very disappointed without Ownly.,`count(S12-Q6 = Very disappointed) ÷ answered`,S12-Q6.,stated.,Ownly users.,confidence in the proposition.,strong product-market fit.,users could live without it.,the 40% bar is a rule of thumb.
K35,Layer 3 · Retention,Incumbent substitution,P1,,No,share of Ownly orders that would otherwise have gone to Swiggy or Zomato.,"`count(S12-Q5 = ""Ordered the same on Swiggy or Zomato"") ÷ answered`",S12-Q5.,stated counterfactual.,users.,the expansion vs share-steal narrative.,Ownly is taking share from incumbents.,"Ownly creates new ordering occasions, which fits Rapido's ""100M people"" thesis.",recall.
K36,Layer 3 · Retention,One-change and drop-off drivers,P1,,No,the single change that would increase ordering (S12-Q7); the Bengaluru reason for ordering less (S23).,`share per option`,"S12-Q7, S23.",stated.,users.,the retention roadmap.,,the retention levers are diffuse.,single choice.
K40,Layer 4 · Supply,Target-restaurant coverage,P0,G3,No,share of the 10 audit-frame restaurants that are listed on Ownly.,`count(on_ownly = yes) ÷ 10`,restaurant frame.,observed.,the frame.,supply-first vs demand-first.,supply supports trial.,fix supply before buying acquisition.,the frame was chosen by us; n = 10.
K41,Layer 4 · Supply,Local vs chain coverage gap,P1,,No,local coverage minus chain coverage.,`coverage(local) − coverage(chain)`,frame.,observed.,frame by type.,Service Q feasibility.,,,n = 10.
K42,Layer 4 · Supply,Cross-platform availability overlap,P1,,No,"when a restaurant is listed and open on an incumbent, share of the time it is also listed and open on Ownly.",`count(open on Ownly AND on ≥1 incumbent) ÷ count(open on ≥1 incumbent)`,"audit `restaurant_listed`, `restaurant_open`.",observed.,captures open on an incumbent.,operational supply fix.,listings translate into real availability.,listed restaurants are often closed or offline on Ownly.,snapshot at two slots.
K43,Layer 4 · Supply,"""My restaurants weren't there"" barrier share",P1,,No,"among people who opened Ownly but didn't order, share naming missing restaurants as the main reason.","`count(S11-Q2 = ""My restaurants weren't there"") ÷ answered`",S11-Q2.,stated.,"opened, didn't order.",supply priority.,users feel the supply gap.,assortment isn't blocking first orders.,small base.
K50,Layer 5 · Fulfilment,ETA gap,P0,,No,"difference in shown delivery time between Ownly and the cheaper incumbent, for the same set.","median of `Ownly eta_mid − cheaper incumbent eta_mid`, where `eta_mid = (min + max) ÷ 2`",audit.,observed (*shown* ETA).,matched sets with ETAs.,whether ETA blocks the price proposition.,,,a shown ETA is not the actual delivery time.
K51,Layer 5 · Fulfilment,Fulfilment failure incidence among triers,P0,G2,No,"share of Ownly users reporting at least one of: 15+ minutes late, cancelled or not delivered, missing or wrong item, refund or support taking more than 2 days.","`count(A3 ≠ ""None of these"") ÷ answered`",**new question A3**.,self-reported.,Ownly users.,ADAPT (lead with and fix reliability) vs KEEP.,reliability is a real risk to repeat use.,operations support the promise.,users with more orders have more chances to experience a failure.
K52,Layer 5 · Fulfilment,Repeat rate by failure experience,P1,,No,K30 among users with no failures minus K30 among users with at least one failure.,`K30(A3 = none) − K30(A3 = any)`,A3 × S4/S12.,association.,users.,the retention lever.,reliability earns the second order.,failures aren't driving churn.,"reverse causality: heavy users both repeat more and experience more failures, which *understates* the gap."
K60,Layer 6 · Distribution,Rapido usage penetration,P1,,No,share who used Rapido in the last 4 weeks.,`count(A1 ≠ Never) ÷ eligible`,**new question A1**.,self-reported.,eligible.,Rapido cross-sell priority.,a large cross-sell base.,Rapido gives little distribution leverage.,none beyond sampling.
K61,Layer 6 · Distribution,"Awareness and trial gap, Rapido users vs non-users",P1,,No,"K10 and K01 among Rapido users, minus the same among non-users.",`K(A1 ≠ Never) − K(A1 = Never)`,A1 × S8.,association.,each group.,KEEP/ADAPT Rapido cross-sell.,consistent with a distribution advantage.,no advantage visible.,Rapido users may simply be more app-savvy. **Public sources say Rapido-app integration is Bengaluru-only.**
K62,Layer 6 · Distribution,Discovery via the Rapido app,P1,,No,share of aware respondents who first heard of Ownly inside the Rapido app.,"`count(first heard = ""Inside the Rapido app"") ÷ answered`",S10/S11/S12-Q1.,self-reported.,aware.,Hyderabad channel mix.,in-app placement is doing the work.,other channels drive discovery.,first-touch recall.
K70,Layer 7 · Promotion,Offer-triggered first order,P1,,No,share of users whose first Ownly order used a discount or offer.,"`count(A2 ∈ Yes options) ÷ count(A2 answered, excluding ""Don't remember"")`",**new question A2**.,self-reported.,users.,how much trial depends on promotion.,trial is subsidised.,trial is organic.,recall.
K71,Layer 7 · Promotion,Promo-dependency gap,P0,G4,No,repeat rate of organic triers minus repeat rate of offer-acquired triers.,`K30(A2 = No) − K30(A2 = Yes)` in pp.,A2 × S4/S12.,association.,users with A2 answered.,promotion KEEP / MODIFY / TARGET / DEPRIORITIZE.,promos rent demand that doesn't stay.,promo-acquired users retain like organic ones.,"offer users may be more price-sensitive, so the gap is not the causal effect of the offer."
K72,Layer 7 · Promotion,Discount as top trial trigger,P1,,No,"share of unaware respondents picking ""A discount on my first order"".",`count ÷ S9-Q1 answered`,S9-Q1.,stated.,unaware.,promo vs price-proof message.,promo pull is strong.,proof of lower prices matters more.,stated.
K74,Layer 7 · Promotion,Fake-door bill-compare rate,P1,,No,share of unique visitors completing the bill comparison.,"`visitors with secondary_intent ÷ unique visitors`, per arm.",fake door.,observed intent.,visitors per arm.,whether to use bill-comparison creative.,price proof engages visitors.,price proof is ignored.,low traffic.
K92,Layer 9 · Context (P1 only),Sample volume-share proxy,P1,,No,Ownly's share of all delivery orders placed by every recent orderer.,"`Σ S4-Q3 ÷ Σ S4-Q1..Q4`, all orderers.",S4.,self-reported.,all orders.,context on scale.,early traction in the sample.,little share in the sample so far.,"a sample, not the market. **Never compare it directly with the reported Bengaluru ""~10%"" share.**"
K94,Layer 9 · Context (P1 only),Market penetration (sample),P1,,No,share of eligible respondents who ordered food online in the last 4 weeks.,`count(S3-Q3 = Yes) ÷ eligible`,S3-Q3.,self-reported.,eligible.,denominator for K00; context.,the category is mature in this segment.,room to grow the category itself.,a food survey attracts people who order food.
