kpi_id,kpi_name,layer,driver,status,value,unit,numerator,denominator,base,formula,data_source,evidence_link,evidence_type,evidence_strength,why_good_indicator,limitation,what_would_upgrade_it,ci_lo,ci_hi,family_order,family,is_headline
K7,Quoted ETA Gap vs incumbents,INPUT,SERVICE,COMPUTED,17.0,min,,39.0,All captures showing an ETA,median(Ownly quoted ETA) - median(incumbent quoted ETA),Price audit,data/audit_clean.csv,PRIMARY OBSERVED DATA,MODERATE,"Quantifies what the saving costs in time. The gap is flat across all four restaurants (+17.5 to +24 min), which is the signature of a supply-density problem rather than a logistics one — see H-OUTLET.","QUOTED ETA, not delivery performance. No test orders were placed, so on-time rate is unknown.",3 test orders recording promised vs actual; and outlet name/distance per platform.,,,5,5 · Delivery Experience Parity,True
K8,"Delivery Experience Parity (on-time, cancellation)",INPUT,SERVICE,NOT COMPUTABLE,,%,,,Would be: real Ownly orders,orders delivered within promised ETA / total orders; and cancellation rate,Requires placed orders or platform data,06_competitor_audit/test_orders_template.csv,COMPANY DATA / FIELD WORK REQUIRED,N/A,"Interviews say people leave an app after repeated bad orders, so fulfilment reliability is the retention guardrail. A quoted ETA cannot measure it.",The 3 budgeted test orders were never placed; template is empty.,Place the 3 test orders; or obtain Ownly's on-time and cancellation rates.,,,5,5 · Delivery Experience Parity,False
K10,Rapido -> Ownly Trial Conversion,INPUT,DISTRIBUTION,NOT COMPUTABLE,,%,,,Would be: Rapido users exposed to the Ownly entry point,Ownly first orders / Rapido users exposed to the Ownly entry point,Requires Rapido funnel analytics,data/kpi_table.csv,COMPANY DATA REQUIRED,N/A,"Tests whether the distribution advantage converts, which is the single biggest claimed asset of the Ownly model. Uber Eats had the same amortised-fleet logic and it did not save it.",No exposure or browse data exists outside Rapido.,Rapido: impressions of the food entry point -> browse -> first order.,,,6,6 · Rapido Discovery-to-Trial Conversion,False
K9,Rapido Food Discovery Rate,INPUT,DISTRIBUTION,COMPUTED,15.2,%,5.0,33.0,Catchment respondents who use Rapido,noticed food inside the Rapido app / Rapido users ('Not sure' counted as not noticed),Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,MODERATE,"Rapido's user base is the cheapest acquisition asset Ownly has. This separates access (they are in the app) from discovery (they noticed the product). Interviews say trial actually comes from friends and creators, not placement — so this tests the assumption.","Self-reported noticing, subject to recall.",In-app exposure-to-first-order analytics from Rapido.,6.7,30.9,6,6 · Rapido Discovery-to-Trial Conversion,True
K18,Post-Promotion Repeat Intent,OUTPUT,RETENTION,COMPUTED (PROXY),25.0,%,10.0,40.0,Catchment respondents (n=40),"top-2 box on 'once the ₹100 first-order offer ended, would you keep using it'",Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,PROXY ONLY,"The closest available stand-in for the North Star. It asks the rented-demand question directly: does the behaviour survive the subsidy. Foodpanda went from ~200k to ~5k daily orders when discounts stopped, so this is the failure mode worth measuring.","STATED INTENT, not retention. People overstate future good behaviour.",Observed second-order rate among promo-acquired users.,14.2,40.2,7,7 · Post-Promotion Repeat Rate,True
K19,Price-Durability Doubt,OUTPUT,RETENTION,COMPUTED,87.5,%,35.0,40.0,Catchment respondents (n=40),agree + strongly agree that a new app's low prices rise once it becomes popular,Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,STRONG,A price proposition only works if it is believed. This measures whether the market has already priced in the fee creep it has seen from every previous challenger.,Attitudinal. Does not by itself predict behaviour.,Test whether doubt predicts non-trial in a behavioural experiment.,73.9,94.5,7,7 · Post-Promotion Repeat Rate,False
K23,Contribution Margin per Repeat Order,GUARDRAIL,ECONOMICS,NOT COMPUTABLE,,INR,,,Would be: Ownly per-order P&L,"revenue per order - variable delivery, payment and support cost per order",Requires Ownly internal cost data,01_secondary_research/challenger_failures/A_ubereats_foodpanda.md,COMPANY DATA REQUIRED,N/A,"The guardrail that separates growth from burn. Uber Eats India lost $2.55 per order against a $2.45 average order value — it lost more per order than the order was worth. Any repeat rate is meaningless without this. Our audit observed Ownly charging ₹0 delivery, ₹0 platform and ₹0 packaging while taking 0% commission, so observed revenue per order in Gachibowli was ₹0.",Ownly has never published per-order economics; no figure exists in any source.,Ownly internal: revenue and variable cost per order.,,,8,8 · Contribution Margin per Repeat Order,True
K11,Incumbent Membership Lock-in,INPUT,LOCK-IN,COMPUTED,82.5,%,33.0,40.0,Catchment respondents (n=40),has_membership = true / respondents answering,Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,MODERATE,Members never see Ownly's list-price advantage — a membership converts a structural saving into no saving at all. It is the single largest barrier measured in this study.,"Membership held, not necessarily used.",Larger sample; confirm active use of the membership.,68.0,91.3,9,Supporting measures — market conditions and funnel,False
K12,Multi-homing Rate,INPUT,LOCK-IN,COMPUTED,57.5,%,23.0,40.0,Catchment respondents (n=40),multihoming = true / respondents answering,Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,MODERATE,"A multi-homing market lets Ownly become a secondary app before it becomes a main one, which is a lower bar than switching. It also means trial does not imply displacement.",Based on self-reported 4-week order counts.,Larger sample; confirm active use of the membership.,42.2,71.5,9,Supporting measures — market conditions and funnel,False
K14,Ownly Awareness,OUTPUT,FUNNEL,COMPUTED,42.5,%,17.0,40.0,Catchment respondents (n=40),ownly_aware / all catchment respondents,Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,MODERATE,"Top of funnel. Ownly is weeks old in Hyderabad, so this is the ceiling on everything downstream.",Self-reported. Trial base is very small.,Larger sample; Ownly's own first-order counts for the pincode.,28.5,57.8,9,Supporting measures — market conditions and funnel,False
K15,Ownly Browse Rate,OUTPUT,FUNNEL,COMPUTED,17.5,%,7.0,40.0,Catchment respondents (n=40),ownly_opened / all catchment respondents,Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,MODERATE,"Stronger than awareness — it is an action, and it separates 'heard of it' from 'looked at it'.",Self-reported. Trial base is very small.,Larger sample; Ownly's own first-order counts for the pincode.,8.7,32.0,9,Supporting measures — market conditions and funnel,False
K16,Ownly Trial Rate,OUTPUT,FUNNEL,COMPUTED,5.0,%,2.0,40.0,Catchment respondents (n=40),ownly_says_ordered / all catchment respondents,Survey,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,DIRECTIONAL — LOW BASE,"The first behavioural step. Low base, so reported as directional.",Self-reported. Trial base is very small.,Larger sample; Ownly's own first-order counts for the pincode.,1.4,16.5,9,Supporting measures — market conditions and funnel,False
K17,Ownly Recent Order Count,OUTPUT,FUNNEL,PARTIALLY UNAVAILABLE,,orders,,,Catchment respondents,sum of self-reported Ownly orders in the last 4 weeks,Survey — conflicting responses,data/cleaned_survey.csv,SURVEY — STATED BEHAVIOUR,UNUSABLE,Would be the cleanest adoption signal available without company data.,"1 respondents said they had ordered on Ownly AND that their first order was within the last 4 weeks, while entering 0 orders for that same window. Those fields contradict each other, so the count is reported as UNAVAILABLE rather than as zero adoption. The 4-week window also mostly predates Ownly's Hyderabad go-live (NRAI launch 22 Jul 2026; on-ground September 2026), so a zero here would measure the question window, not rejection.",Ask recent-order count with an explicit 'since Ownly launched here' anchor.,,,9,Supporting measures — market conditions and funnel,False
K20,Will trade speed for ₹30,OUTPUT,TRADE-OFF,COMPUTED,92.5,%,37.0,40.0,Catchment respondents (n=40),chose the ₹230 option over ₹260 / respondents answering,Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,STRONG (paired design),"Holds ₹30 constant and varies only what is given up, so differences are attributable to the attribute rather than to price sensitivity. Tests whether users will wait 15 minutes longer.",Constructed choice at a single price point; not observed behaviour.,Repeat at ₹20/₹50/₹75 to build a trade-off curve.,80.1,97.4,9,Supporting measures — market conditions and funnel,False
K21,Will trade reliability for ₹30,OUTPUT,TRADE-OFF,COMPUTED,72.5,%,29.0,40.0,Catchment respondents (n=40),chose the ₹230 option over ₹260 / respondents answering,Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,STRONG (paired design),"Holds ₹30 constant and varies only what is given up, so differences are attributable to the attribute rather than to price sensitivity. Tests whether users will accept 3-in-10 late instead of 1-in-10.",Constructed choice at a single price point; not observed behaviour.,Repeat at ₹20/₹50/₹75 to build a trade-off curve.,57.2,83.9,9,Supporting measures — market conditions and funnel,False
K22,Will trade usual restaurants for ₹30,OUTPUT,TRADE-OFF,COMPUTED,35.0,%,14.0,40.0,Catchment respondents (n=40),chose the ₹230 option over ₹260 / respondents answering,Survey,data/cleaned_survey.csv,SURVEY — STATED PREFERENCE,STRONG (paired design),"Holds ₹30 constant and varies only what is given up, so differences are attributable to the attribute rather than to price sensitivity. Tests whether users will give up most usual restaurants.",Constructed choice at a single price point; not observed behaviour.,Repeat at ₹20/₹50/₹75 to build a trade-off curve.,22.1,50.5,9,Supporting measures — market conditions and funnel,False
