evidence_id,question,claim_exact,label,city,source_name,url,pub_date,access_date,corroborated_by,notes
"S16","restaurant","'Instead of charging restaurants a commission on each order, it levies a subscription fee.'","MEDIA REPORT","Bengaluru","Business Standard","https://www.business-standard.com/companies/news/rapido-integrates-ownly-food-delivery-primary-app-126072800643_1.html","2026-07-28","2026-09-14","S19","Search snippet only (HTTP 403). Conflicts with S13/S22"
"S17","restaurant","'KFC and McDonald's have gone offline on Rapido's food delivery platform Ownly across pincodes in Bengaluru'; listed via magicpin, delisted after technical issues","MEDIA REPORT","Bengaluru","Financial Express (via Magzter)","https://www.magzter.com/stories/newspaper/Financial-Express-Bengaluru/KFC-MCD-GO-OFFLINE-ON-RAPIDOS-OWNLY","2026-05-11","2026-09-14","none","Search snippet only (403/paywall). Current status of Domino's, Burger King, Pizza Hut: UNKNOWN"
"S18","restaurant","Sanka: 'Swiggy and Zomato are built only for nationalised chains, or brands. Not for the local/regional ones.'","COMPANY CLAIM","All-India","Startuppedia (Moneycontrol interview upstream)","https://startuppedia.in/trending/ceo-aravind-sanka-says-rapido-has-no-reason-to-exist-if-it-fails-to-reach-100-million-12138707","2026-07-06","2026-09-14","Storyboard18 103333 (same upstream)","Also: plans to keep menu prices same as offline, earning margin on delivery"
"S19","restaurant","'approximately 25,000 restaurants' in Bengaluru; target 50,000; 'subscription-based framework'","COMPANY CLAIM","Bengaluru","Whalesbook","https://www.whalesbook.com/news/English/technology/Rapidos-Ownly-Plans-6-City-Food-Delivery-Expansion/6a6a16ee288da18bdd3c468e","2026-07-29","2026-09-14","S24 (25,000)","Attributed to Sanka; no upstream cited; low reliability"
"S20","restaurant","Empire, Vidyarthi Bhavan and Amintiri (patisserie) featured at 'Serving Bengaluru Together' Ownly-NRAI MoU event","COMPANY CLAIM","Bengaluru","Mediabrief","https://mediabrief.com/ownly-and-nrai-sign-mou/","2026-07-30","2026-09-14","Business of Food 2026-08-05; Indian Retailer (snippet)","All three outlets rewrite one press release, so they count as one source, not three"
"S21","restaurant","NRAI President Sagar Daryani: partnership 'gives us an opportunity to understand how a zero-commission model works in practice'; NRAI wants clear written fee terms and data sharing for smaller operators","COMPANY CLAIM","Bengaluru","Mediabrief","https://mediabrief.com/ownly-and-nrai-sign-mou/","2026-07-30","2026-09-14","https://www.businessoffood.in/rapidos-ownly-joins-hands-with-nrai-to-support-restaurants/","Partner statement in joint release; Daryani is also Wow! Momo CEO"
"S22","restaurant","Ownly 'does not charge listing fees, subscription fees or visibility fees'; 'neutral discovery model'","COMPANY CLAIM","Bengaluru","Indian Retailer","https://www.indianretailer.com/news/rapidos-ownly-expands-restaurant-partnership-through-nrai-agreement","c. 2026-07/08 (not captured)","2026-09-14","S13; S26","Search snippet only (HTTP 403)"
"S23","restaurant","Shakir Haq (Group CEO, Empire): 136 daily orders in March, 1,700+ in July; 'These are incremental revenues'","MEDIA REPORT","Bengaluru","Startuppedia (Moneycontrol upstream)","https://startuppedia.in/trending/rapidos-ownly-hits-record-50000-daily-orders-in-bengaluru-12412943","2026-08-22","2026-09-14","Storyboard18 search snippet (same upstream)","Restaurant-owner testimony (positive); Empire is a mid-priced multi-outlet chain, not a small eatery"
"S24","restaurant","'~25,000 restaurants onboarded; targeting 50,000'","COMPANY CLAIM","Bengaluru","Startuppedia","https://startuppedia.in/trending/rapidos-ownly-hits-record-50000-daily-orders-in-bengaluru-12412943","2026-08-22","2026-09-14","S19","Contradicts ~20,000 (S26 same week) and 22,000 (S30)"
"S25","restaurant","'50,000+ orders daily in Bengaluru'; ~10% of city market (est. 500,000-600,000 daily orders)","MEDIA REPORT","Bengaluru","Storyboard18 (Moneycontrol upstream)","https://www.storyboard18.com/brand-marketing/rapidos-ownly-crosses-50000-daily-food-orders-in-bengaluru-plans-multi-city-expansion-report-108355.htm","2026-08-21","2026-09-14","S26; S23 (same Moneycontrol upstream)","Market-size estimate method not disclosed"
"S26","restaurant","~20,000 restaurants; 'no commission on restaurant orders, no listing fees, no visibility fees'; delivery fee '₹30 plus GST'","MEDIA REPORT","Bengaluru","OfficeChai (Moneycontrol upstream)","https://officechai.com/startups/rapidos-ownly-now-has-a-10-share-in-bengalurus-food-delivery-market-report/","2026-08-21","2026-09-14","S25","Also mentions BBHA: 1,000+ owners threatening to delist from Swiggy/Zomato"
"S27","restaurant","Bengaluru restaurant owners 'evaluating the platform as a potential alternative' amid planned 15 Aug boycott of Swiggy/Zomato","MEDIA REPORT","Bengaluru","The South First","https://thesouthfirst.com/karnataka/bengaluru-eateries-threaten-to-boycott-swiggy-zomato-over-unfair-business-practices/","2026-08-05","2026-09-14","S26","Protest led by BHA, BBHA, Karnataka State Hotel Assn, Karnataka Bakery & Sweets Assn. No formal BBHA-Ownly partnership found"
"S28","restaurant","Owners: platforms 'introduce favorable terms during onboarding but change conditions' once merchants depend on them; data terms 'not been fully defined'","MEDIA REPORT","Bengaluru","MediaNama","https://www.medianama.com/2026/03/223-rapido-ownly-bengaluru-zero-commission-model-sustain-without-charging-restaurants/","2026-03 (day not captured)","2026-09-14","none","Search snippet only (403). Negative/cautious owner sentiment; owners unnamed"
"S29","restaurant","Food Promise ad 'gone viral', with 'restaurant owners sharing it as a rallying cry against high commission rates'","COMPANY CLAIM","Bengaluru","Adgully","https://www.adgully.com/post/12743/rapido-enters-food-delivery-with-ownly-serves-up-zero-commission-model-via-food-promise-campaign","2026-03 (day not captured)","2026-09-14","none","Search snippet only; press-release language, unverified"
"S30","restaurant","Pilot: 'Delivery fees were waived for customers'; now per-km charges; later Tier-2/3 within Rapido's 600-city network","COMPANY CLAIM","Bengaluru","Verdict Foodservice (BusinessLine upstream; Rapido town hall to NRAI by Vivek Vashishta)","https://www.verdictfoodservice.com/news/indias-rapido-rolls-out-ownly/","2026-02-09","2026-09-14","S08","A search snippet adds that early partners 'did not immediately see order growth' (snippet only)"
"S31","restaurant","'22 thousand restaurants' onboarded; '42 lakh and counting' orders; '₹34 crore and counting' saved (Bangalore stats)","COMPANY CLAIM","Bengaluru (shown on Hyderabad page)","Ownly website - Hyderabad page","https://ownly.food/hyd","undated","2026-09-14","S12; S24","Company marketing numbers; unaudited"
"S32","restaurant","Hyderabad brands shown: Paradise Biryani, Vivaha Bhojanambu, Harley's Fine Baking, 100N, Bawarchi, Punjabi Affair, Bakelore, Cream Stone","COMPANY CLAIM","Hyderabad","Ownly website - Hyderabad page","https://ownly.food/hyd","undated","none","Only Hyderabad restaurant evidence found; no news coverage of Hyderabad partners"
"S33","restaurant","'Other apps ₹420' vs 'Ownly Price ₹249' (Paradise Special Royal Chicken Biryani); Kodi Vepudu ₹479 vs ₹389 (Vivaha Bhojanambu); Paneer Sandwich ₹235 vs ₹159 (100N)","COMPANY CLAIM","Hyderabad","Ownly website - Hyderabad page","https://ownly.food/hyd","undated","2026-09-14","none","Gaps of ~19-41%, well above the '15%' claim; comparison basis (outlet, date, fees included) not stated"
"S34","restaurant","Merchant app 'Ownly Restaurant Partner' (com.ownly.store) on Google Play since Oct 2025; v0.34.0 updated 2026-09-04","COMPANY CLAIM","All","Google Play (merchant app listing)","https://play.google.com/store/apps/details?id=com.ownly.store&hl=en_IN","listing","2026-09-14","none","Search snippet only (page did not render). No public merchant fee terms found; ownly.food/restaurant-terms did not render"
"S35","restaurant","'Restaurants pay: Rs. 0 — no commission, no listing fees, no subscription, no marketing charges'","MEDIA REPORT","Bengaluru","MenuManager.in (vendor blog)","https://menumanager.in/rapido-ownly-zero-commission-food-delivery-2026/","2026-05-04","2026-09-14","S13","Written by a company selling competing restaurant software; secondary only"
"S36","restaurant","For orders up to ₹100, restaurant pays ₹10 and customer pays ₹20 toward delivery; ₹25 for ₹100-400; ₹50 above ₹400","MEDIA REPORT","Bengaluru","The Hans India","https://www.thehansindia.com/bengaluru/ownly-launches-in-bengaluru-affordable-food-delivery-with-zero-commission-for-restaurants-996974","2025-08-14","2026-09-14","S03; S04","Splits differ slightly from S03; pilot-era terms"
"S37","user","Opportunity 'to bring food delivery to millions of consumers who already trust Rapido for their daily mobility but haven't yet used an app to order food'","COMPANY CLAIM","Bengaluru","BW Disrupt","https://www.bwdisrupt.com/article/ownly-goes-live-on-rapido-app-ramps-up-zero-commission-food-delivery-push-616875","2026-07-28","2026-09-14","BusinessToday 2026-07-28 (ride-hailing base ~2x food-ordering base)","Search snippet only (HTTP 403). Main stated acquisition base: Rapido riders who are new to online food ordering"
"S38","user","'basic staples such as rice and eggs for under ₹100'; 'at least four meals priced at ₹150 or below'","MEDIA REPORT","Bengaluru","Storyboard18 (promises affordable meals)","https://www.storyboard18.com/brand-marketing/rapido-launches-ownly-food-delivery-app-in-bengaluru-promises-affordable-meals-78917.htm","2025-08-14","2026-09-14","S05 (same day, likely same upstream); Mobigyaan headline 'affordable meals under ₹150'","Positions Ownly on budget/single-diner meals"
"S39","user","Sanka: 'If the number of people ordering food online doesn't reach 100 million in three years, there is no reason for Rapido to exist'","COMPANY CLAIM","All-India","Startuppedia (Moneycontrol interview upstream)","https://startuppedia.in/trending/ceo-aravind-sanka-says-rapido-has-no-reason-to-exist-if-it-fails-to-reach-100-million-12138707","2026-07-06","2026-09-14","Storyboard18 103333; Storyboard18 108355 (same upstream)","Market-expansion framing; not a demographic target"
"S40","user","Sanka: 'We have to solve for affordability. That is the biggest deterrent for consumers today'","COMPANY CLAIM","All-India","Startuppedia (Moneycontrol interview upstream)","https://startuppedia.in/trending/ceo-aravind-sanka-says-rapido-has-no-reason-to-exist-if-it-fails-to-reach-100-million-12138707","2026-07-06","2026-09-14","Storyboard18 103333 ('Affordability remains the biggest barrier')","Wording differs between the two rewrites; check the Moneycontrol original"
"S41","user","Instagram bio: 'Bengaluru, you hungry? Ownly pay for Food + Delivery Order now' (26.7K followers)","COMPANY CLAIM","Bengaluru","Instagram @ownlyfoodapp","https://www.instagram.com/ownlyfoodapp/","undated (profile)","2026-09-14","none","Posts are meme-style, Bengaluru-youth humour (e.g. croissants called 'Prashants' in BLR); no Hyderabad content visible"
"S42","user","Sanka: 'customers only have to pay for the food and delivery'","COMPANY CLAIM","Bengaluru","Curly Tales (The Hindu upstream)","https://curlytales.com/india/trending/what-is-ownly-rapidos-new-food-delivery-app-with-zero-commission-is-it-cheaper-than-other-apps/","date not captured","2026-09-14","S41","Matches the 'Ownly pay for Food + Delivery' line"
"S43","user","Food Promise courtroom-satire ad; audience across metros, Tier 2 and Tier 3; Sanka: 'Food ordering has become an integral part of everyday life'","COMPANY CLAIM","Bengaluru","afaqs","https://www.afaqs.com/news/advertising/rapido-launches-ownly-food-app-in-bengaluru-with-latest-campaign-11173111","2026-03-03","2026-09-14","S12 (Storyboard18 91261)","No age/occupation targeting stated; agency not disclosed"
"S44","user","Focus on 'everyday low prices rather than discount-led growth'","COMPANY CLAIM","Bengaluru","Storyboard18","https://www.storyboard18.com/brand-marketing/rapido-rolls-out-ownly-across-bengaluru-with-zero-commission-model-for-restaurants-91261.htm","2026-03-03","2026-09-14","S21 Mediabrief NRAI summit 'everyday low prices'","No launch coupons or referral scheme found (UNKNOWN)"
"S45","user","Offline eating-out ticket about ₹100 vs about ₹400 AOV on incumbent apps; 200-300M eat out regularly vs 25-30M monthly transacting on Swiggy+Zomato","MEDIA REPORT","All-India","Inc42 feature","https://inc42.com/features/food-delivery-is-expensive-and-rapido-wants-it-fixed/","c. 2026-03","2026-09-14","none","Sources of these figures not captured; they frame the low-AOV target"
"S46","user","Ownly targets an average order value 'roughly 60% of the current industry average'","MEDIA REPORT","All-India","Whalesbook","https://www.whalesbook.com/news/English/technology/Rapidos-Ownly-Plans-6-City-Food-Delivery-Expansion/6a6a16ee288da18bdd3c468e","2026-07-29","2026-09-14","none","No upstream cited; unverified. Ownly's actual AOV: UNKNOWN"
"S47","user","Pilot in Byrasandra-Tavarekere-Madiwala (BTM) Layout, HSR Layout and Koramangala","MEDIA REPORT","Bengaluru","TechCrunch","https://techcrunch.com/2025/08/13/indias-rapido-begins-testing-food-delivery-to-take-on-swiggy-zomato","2025-08-13","2026-09-14","S08; S12","Entrackr/Mediabrief/Storyboard18 78875 list only Koramangala + HSR. No source states why these areas were chosen"
"S48","user","Rollout 'follows a pilot across Koramangala, HSR Layout and BTM Layout, alongside broader research into consumer behaviour across Indian cities'","COMPANY CLAIM","Bengaluru","Storyboard18 / Angel One (search snippet)","https://www.angelone.in/news/unlisted-companies/rapido-rolls-out-ownly-food-delivery-service-across-bengaluru","2026-03-03","2026-09-14","none","Search snippet only; the research is not published (UNKNOWN)"
"S49","user","JP Morgan: Toing 'materially more successful' than Ownly over past three months; Toing aimed at 'price-sensitive consumers such as students and younger users'","MEDIA REPORT","All-India","Storyboard18 (JP Morgan note)","https://www.storyboard18.com/brand-marketing/swiggys-toing-outpaces-rapidos-ownly-but-sustainability-questions-remain-jp-morgan-101201.htm","2026-06-16","2026-09-14","Whalesbook 2026-06-15 (same upstream)","Brokerage note, but no metrics or method disclosed, so not INDEPENDENT DATA. Predates Ownly's 50k/day report (S25)"
"S50","user","Toing for 'college students and young professionals'; meals ₹100-150, some ₹75-99; launched in Pune Sept 2025","MEDIA REPORT","Pune (later Nashik, Nagpur, Vadodara, Delhi NCR, Agra, Guwahati, Mumbai)","Business Standard / CSR Journal on X","https://www.business-standard.com/companies/start-ups/swiggy-toing-food-delivery-app-launch-pune-competition-125091500792_1.html","2025-09-15","2026-09-14","Angel One; BW Disrupt","Search snippet only (403). City list from snippets; Toing in Hyderabad: UNKNOWN"
"S51","user","Goyal: 'These apps are specifically targeting budget-conscious customers... the Zomato app should be able to solve for these use cases'; Gold free-delivery MOV cut Rs 199 to Rs 99","COMPANY CLAIM","All-India","Storyboard18","https://www.storyboard18.com/brand-makers/eternals-deepinder-goyal-on-swiggy-toing-rapido-ownly-we-dont-need-another-app-82677.htm","2025-10-16","2026-09-14","Startuppedia (Goyal 'last mover')","Eternal/Zomato claim, not Ownly's. Shows competitors read Ownly as a budget-segment play"
"S52","user","App Store listing: 'No hidden fees. Just good food'; 'No delivery fee'; 'No small order fee'; rated 4.5/5 from 11,000+ ratings","COMPANY CLAIM","All","Apple App Store - Ownly: Food Delivery App","https://apps.apple.com/in/app/ownly-food-delivery-app/id6747476494","listing","2026-09-14","Google Play snippet ('no small order fee')","Rating is consumer-generated. 'No delivery fee' conflicts with ₹30 fee (S26); no minimum order value found"
"S53","user","Reviews: 'same restaurants at a much lower overall cost'; 'After waiting for almost 2 hours, they cancelled the order'; '15-20 orders were delayed...customer support is bad'","CONSUMER-GENERATED","Unspecified","Apple App Store reviews","https://apps.apple.com/in/app/ownly-food-delivery-app/id6747476494","review dates shown without year","2026-09-14","none","Only a few visible reviews; not representative. No Reddit threads found (r/ownlyfoodapp is linked from the website)"
"S54","user","Sanka: 'The repeat rates we are seeing are higher than anything we saw in the pilot.'","COMPANY CLAIM","Bengaluru","Mediabrief","https://mediabrief.com/ownly-and-nrai-sign-mou/","2026-07-30","2026-09-14","none","No repeat-rate figure disclosed"
"S55","user","Rapido mobility monthly active users 73.96 million (Jan-Feb 2026)","MEDIA REPORT","All-India","Upstox","https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/","2026 (day not captured)","2026-09-14","none","Underlying data source not captured; size of the acquisition pool"
"S56","user","Customers pay 'Rs. 30 per order' delivery; per-km fee borne by customers","COMPANY CLAIM","Bengaluru","Free Press Journal","https://www.freepressjournal.in/tech/rapido-officially-launches-zero-commission-food-delivery-app-ownly-will-rival-zomato-swiggy","2026-03-04","2026-09-14","S26; S14 (~₹30 + GST)","Flat vs per-km described inconsistently"
"S57","user","Hyderabad page: 'no platform fee, no packaging fee, no surge charges'; 'exclusive offers and early access' via email signup","COMPANY CLAIM","Hyderabad","Ownly website - Hyderabad page","https://ownly.food/hyd","undated","2026-09-14","none","No Hyderabad launch date, localities, coupons or referral terms on page"
"S58","user","Ownly to expand to Delhi NCR, Mumbai, Hyderabad, Pune, Chennai; launches 'over the next two to three weeks'; Rapido declined comment","MEDIA REPORT","Hyderabad","TelecomLive (Financial Express upstream)","https://telecomlive.in/web/2026/07/23/ownly-by-rapido-set-for-5-city-rollout-in-2-3-weeks/","2026-07-23","2026-09-14","Whalesbook 2026-07-29 (six cities incl. Kolkata)","No news article confirming the actual Hyderabad go-live was found"
"S59","user","Facebook page titled 'Ownly | Hyderabad'; contact address 3rd Floor, Sai Prithvi Arcade, Megha Hills, Madhapur, Hyderabad 500081","COMPANY CLAIM","Hyderabad","Ownly Facebook page / ownly.food contact","https://www.facebook.com/ownlyfoodapp/","undated","2026-09-14","https://ownly.food/contact","Facebook = search snippet only. Madhapur address sits next to Gachibowli"
"S60","user","Targets 'students, office-goers, and budget-conscious families'; 'working-class individuals, students, and daily wage earners'","MEDIA REPORT","Bengaluru","Minorstudy (blog)","https://minorstudy.com/rapidos-ownly/","2025-08-18","2026-09-14","none","UNSOURCED blog; do NOT use as evidence of company targeting. Logged only so nobody reuses it by mistake"
