evidence_id,topic,claim_exact,evidence_type,source_name,url,pub_date,access_date,corroborated_by,verification_status,confidence,hypotheses_linked,notes
E21,Order volume (Bengaluru) - syndicated,"Ownly hits 50,000 daily orders; ~10% share of Bengaluru food delivery",MEDIA REPORT,Startuppedia; OfficeChai,https://officechai.com/startups/rapidos-ownly-now-has-a-10-share-in-bengalurus-food-delivery-market-report/,2026-08,2026-09-14,E19,partially,M,H9,Cited in 16_ as independent corroboration; both appear to trace to the same report. Downgraded.
E22,Hyderabad availability,"'Ownly is now in Hyderabad'",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,,unverified,M,H9,"Company page is live on access date. No launch date, no localities; Gachibowli NOT mentioned. No independent dated media report of the Hyderabad launch found in 12+ searches. Serviceability in Gachibowli must be checked in-app by the team."
E23,Hyderabad fee proposition,"'No Packaging Fees' ('Enjoy your order at zero extra packaging charges'); 'No Platform Fees'; 'No Surge Charges' ('Your price holds on Ownly when the kitchen is swamped')",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,E28,unverified,M,H1;H2;H8,Delivery fee is NOT stated on the Hyderabad page. Proposition = no platform/packaging/surge fees - not 'no fees'.
E24,Company metrics (Bengaluru),"'Rs 34 crore and counting' saved on fees; '22 thousand restaurants' onboarded; '42 lakh and counting' orders delivered; '4.4 rating'",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,,unverified,L,H9;H12,"Restaurant count conflicts: 20,000 (E18), 22,000 (here), 25,000 (other reports in 16_). '42 lakh orders' vs '50,000/day' (E19) not reconcilable without dates. Savings methodology undisclosed."
E25,Hyderabad restaurant assortment,"Named restaurants shown: 'Paradise Biryani, Vivaha Bhojanambu, Harley's Fine Baking, 100N, Bawarchi, Punjabi Affair, Bakelore, Cream Stone'",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,,unverified,M,H10,Marketing page listing; which outlets deliver to Gachibowli is UNKNOWN. Overlaps with 17_ anchor candidates (Paradise; Bawarchi).
E26,Hyderabad price comparison claims,"12 dish comparisons e.g. Paradise 'Special Royal Chicken Biryani' 'Other apps Rs 420' vs 'Ownly Price Rs 249'; Bawarchi 'Mini Chicken Biryani' Rs 180 vs Rs 150; Ownly prices Rs 150-429 vs other apps Rs 180-479",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,,unverified,L,H2;H9,"No methodology, date, outlet, or whether fees/discounts included. Implied gaps Rs 30-171 per dish (7%-41%). Use only as items to AUDIT, never as findings."
E27,Ownly legal entity location,"Footer: 'CTRLX TECHNOLOGIES PRIVATE LIMITED'; 'CIN: U47912TS2025PTC198828'; address 'Hyderabad, Telangana, India - 500081'",COMPANY CLAIM,ownly.food/hyd (Ownly website),https://ownly.food/hyd,undated page,2026-09-14,E02,partially,M,H7,"INTERPRETATION: 'TS' in the CIN is the Telangana registrar code and '2025' the incorporation year, i.e., the Ownly entity appears registered in Telangana. Confirm on MCA portal. Does not by itself prove customer operations. Rapido parent HQ is Bengaluru (E56)."
E28,App store listing (iOS),"Seller 'CTRLX TECHNOLOGIES PRIVATE LIMITED'; rating 4.5 (approx. 10K ratings displayed); description: 'No hidden fees. Just good food', 'Zero commission model', 'No inflated prices', 'Free delivery'",COMPANY CLAIM,Apple App Store (India),https://apps.apple.com/in/app/ownly-food-delivery-app/id6747476494,listing; version notes May 3 - Sept 2 2026,2026-09-14,E02;E23,partially,M,H2;H8;H12,"'Free delivery' conflicts with Rs 30 fee reports (E13). Version notes only 'Bug fixes and performance improvements' - no Hyderabad mention. App-store ratings are self-selected, not representative. Review mining is Agent B's scope."
E29,Independent-ish price check (Bengaluru),"Same Rs 119 corn pizza (Pizza Hut, JP Nagar): Zomato Rs 191.37 (item 119 + packaging 25 + delivery partner fee 19 + platform fee 12.50 + Feeding India 3 + taxes); Swiggy ~Rs 180 after Rs 50 discount; Ownly Rs 119 + Rs 5.95 GST = ~Rs 125, no delivery fee charged",CONSUMER-GENERATED,News Karnataka (reporting a user's social post),https://newskarnataka.com/bengaluru/bengaluru-user-compares-swiggy-zomato-and-ownly-pizza-prices/07032026,2026-03-07,2026-09-14,E30,partially,L,H1;H2,"n=1 order, launch week (possible promo). Reported issues: failed OTP when testing Ownly. Useful as bill-structure template, not as a savings estimate."
E30,Independent-ish price check (Bengaluru),"Swiggy ~Rs 180, Zomato ~Rs 191.37, Ownly ~Rs 124.95; article: comparison is 'just one order and may vary depending on restaurant listings and delivery distances'",CONSUMER-GENERATED,Oneindia (reporting a user's social post),https://www.oneindia.com/bengaluru/rapido-food-delivery-app-ownly-compared-with-swiggy-zomato-in-viral-price-check-8017281.html,2026-03-05,2026-09-14,E29,partially,L,H1;H2,Same underlying post as E29.
E31,Restaurant model (2026),"Restaurant cost 'Rs. 0 - no commission, no listing fees, no subscription, no marketing charges'; customer fee 'a flat delivery fee of around Rs. 30' that is 'distance-based, plus GST'",MEDIA REPORT,MenuManager (vendor blog),https://menumanager.in/rapido-ownly-zero-commission-food-delivery-2026/,2026-05-04,2026-09-14,E18;E16,partially,L,H2;H8;H9,"Vendor with competing product - bias. 'Flat' and 'distance-based' in the same sentence - contradiction unresolved. Zero-commission itself is well corroborated (E16;E18)."
E32,Customer proposition wording,"'customers only have to pay for the food and delivery'",MEDIA REPORT,Curly Tales,https://curlytales.com/india/trending/what-is-ownly-rapidos-new-food-delivery-app-with-zero-commission-is-it-cheaper-than-other-apps/,2026-04-13,2026-09-14,E23,partially,M,H2,Consistent with Instagram bio 'Ownly pay for Food + Delivery' (search-index view of @ownlyfoodapp).
E33,Incumbent platform fee,"Swiggy platform fee raised to 'Rs 17.58 per order (including GST)' from Rs 14.99; Zomato 'Rs 14.90' pre-GST = Rs 17.58 total",MEDIA REPORT,Republic World,https://www.republicworld.com/business/swiggy-hikes-platform-fee-by-17-to-rs-1758-per-order-matches-zomato,2026-03-24,2026-09-14,E34;E35,verified,H,H1;H8,National figure as reported; city-level (Hyderabad) current value must be audited - fees change frequently.
E34,Incumbent platform fee,"'After Zomato, Swiggy hikes platform fee by 17% to Rs 17.58 per order'; 'fourth time in the past seven months that Swiggy has increased its platform fee'",MEDIA REPORT,Deccan Herald / Business Standard (search-index),https://www.deccanherald.com/business/companies/after-zomato-swiggy-hikes-platform-fee-by-17-to-rs-1758-per-order-3942871,2026-03,2026-09-14,E33,partially,M,H1,Page returned 403; headline and summary only.
E35,Incumbent platform fee,"Platform fees 'Rs 14.90 on Zomato (from Rs 12.5 in early March)' and 'Rs 17.58 on Swiggy' by late March 2026",MEDIA REPORT,Upstox (Upstox Originals),https://upstox.com/news/upstox-originals/investing/rapido-s-ownly-has-early-momentum-but-can-it-scale/article-191695/,not stated (2026),2026-09-14,E33,verified,H,H1,Note E29 bill (early March) showed Zomato platform fee Rs 12.50 - consistent with pre-hike level.
E36,GST on delivery,"18% GST on 'delivery services offered via e-commerce platforms', effective September 22, 2025; previously 'delivery charges levied by these platforms were exempt from GST'",MEDIA REPORT,Angel One,https://www.angelone.in/news/market-updates/zomato-swiggy-and-other-e-commerce-platforms-to-face-18-percent-gst-effective-sep-22,2025-09-09,2026-09-14,E37,verified,H,H8,Section 9(5) CGST reclassification after 56th GST Council meeting. Relevant: Ownly's own delivery fee reported 'plus GST'.
E37,GST impact estimate,"Morgan Stanley estimate of 'Rs 180-200 crore' annual GST liability",MEDIA REPORT,Business Today,https://www.businesstoday.in/latest/corporate/story/zomato-swiggy-gst-delivery-fees-impact-492733-2025-09-05,2025-09-05,2026-09-14,E36,partially,M,H8,"Search summary said 'each'; fetched text reads as combined - ambiguous. A search summary also cited avg delivery fee 'Rs 11-12' (Zomato) and 'Rs 14.5' (Swiggy) and Rs 2-2.6 GST/order, but the fetched page did NOT contain these - treat those numbers as unverified."
E38,Rain surcharge for members,"Zomato Gold and Swiggy One users 'previously...enjoyed exemption from delivery surcharges triggered by rain or storms' - exemption withdrawn; platform fee 'started as a nominal Rs 2 per order has surged to Rs 10 in many cities' (as of May 2025)",MEDIA REPORT,Business Today,https://www.businesstoday.in/amp/technology/news/story/pay-more-get-less-zomato-gold-swiggy-one-drop-key-perk-for-loyal-users-subscribers-to-now-pay-rain-surge-476673-2025-05-17,2025-05-17,2026-09-14,E39,verified,M,H1;H3,No surcharge amount given.
E39,Rain surcharge amount,"Rain surcharge 'typically ranges between Rs 15 and Rs 35'",MEDIA REPORT,Search-index summary (Business Standard 2025-05-16 / aggregators),https://www.business-standard.com/companies/news/zomato-swiggy-rain-surcharge-premium-members-profitability-efforts-125051601134_1.html,2025-05-16,2026-09-14,,unverified,L,H1;H8,Could not verify the amount in any fetched page. Do not cite without audit.
E40,Subscriptions,"'Zomato Gold: Rs 99/month'; 'Swiggy One: Rs 99/month'; free-delivery radius cut from '10 kilometres' to '7 kilometres'; free delivery on orders over 'Rs 199'",MEDIA REPORT,Goodreturns,https://www.goodreturns.in/news/food-delivery-giants-zomato-swiggy-slash-premium-perks-new-radius-policy-sparks-customer-outrage-1353749.html,2024-06-25,2026-09-14,,partially,L,H1;H8,"STALE (2024). Other 2026 blogs quote Gold Rs 999/yr, One Rs 1,299/3 months, One Lite Rs 99/3 months - conflicting, low-quality. Current Hyderabad prices must be captured in-app."
E41,Incumbent delivery fee range,"'Average delivery fee without membership ranges from Rs 25-60 per order depending on distance and demand'",MEDIA REPORT,Aish4Aish blog,https://www.aish4aish.in/blog/swiggy-vs-zomato-which-is-better-2026,2026,2026-09-14,,unverified,L,H8,Blog; no method. Directional only.
E42,Incumbent scale Q1FY27,"Swiggy food delivery GOV 'Rs 9,490 crore' (+17.4% YoY); Eternal food delivery NOV 'Rs 10,769 crore' (+20.1%); adj. EBITDA Rs 292 cr (3.1%) vs Rs 606 cr (5.6%); comparison 'directional rather than perfectly like-for-like'",MEDIA REPORT,INDmoney blog,https://www.indmoney.com/blog/stocks/eternal-vs-swiggy-comparison,2026-08-06,2026-09-14,E43;E67,verified,H,H9,Figures originate in company filings (GOV vs NOV definitions differ).
E43,Market share,"Eternal 'holds gross order value (GOV) share of over 58 per cent in food delivery' in Q1FY27; MTU 40% more than Swiggy",MEDIA REPORT,Business Standard (search-index; page 403),https://www.business-standard.com/industry/news/eternal-vs-swiggy-food-delivery-quick-commerce-growth-profitability-126080400800_1.html,2026-08-04,2026-09-14,E42,partially,M,H9,National duopoly share. Hyderabad-specific share UNKNOWN.
E44,Swiggy users,"Swiggy food delivery 'added 0.9 million monthly transacting users during the quarter to reach 19.2 million' (+18% YoY)",MEDIA REPORT,YourStory (search-index),https://yourstory.com/2026/07/swiggy-losses-down-34-as-revenues-rise-37-in-q1-of-fy27,2026-07,2026-09-14,,unverified,M,H9,Not fetched.
E45,Budget challenger - Toing,"Swiggy's Toing '33 million weekly active users' (CLSA/Sensor Tower), ~96% of Zomato's 35 million; 'nearly 50 cities'; 'Two out of every three users acquired through Toing are either new to Swiggy or returning after being inactive'",MEDIA REPORT,Storyboard18 (citing CLSA),https://www.storyboard18.com/brand-marketing/swiggys-toing-user-base-closes-in-on-zomato-reaches-33-million-weekly-users-clsa-ws-o-110238.htm,2026-09-09,2026-09-14,E46,partially,M,H1;H2;H6;H9,App-intelligence estimate. Whether Toing serves Hyderabad/Gachibowli is UNKNOWN - no source lists Hyderabad. Directly competes on 'affordability' job.
E46,Budget challenger - Toing,"Toing claims 'no platform, delivery or surge fee'; items 'starting at Rs 49'; e.g. Bohri Chicken Biryani Rs 225 on Toing vs Rs 360 on Swiggy; cities Pune (Sept 2025), Nashik, Nagpur, Vadodara, Delhi NCR, Agra, Guwahati, Mumbai",MEDIA REPORT,afaqs,https://www.afaqs.com/first-person/swiggy-just-launched-a-cheaper-version-of-itself-and-it-works-11459915,2026-04-07,2026-09-14,E45;E47,partially,M,H2;H9,"Toing positioned for 'students and young professionals living alone' (search-index summary) - same target as this study."
E47,Budget challenger - Toing fees,"Swiggy 'set the platform fee at Rs. 12 per order on toing, compared to Rs. 15 on its flagship app'",MEDIA REPORT,MediaNama (search-index; page 403),https://www.medianama.com/2025/09/223-toing-app-swiggy-save-money-on-meals/,2025-09,2026-09-14,E46,contradicted,L,H2,Contradicts E46 'no platform fee' marketing claim (may reflect launch vs later period). Unverified.
E48,Restaurant economics - Bengaluru dispute,"Commission 'can range from 8 per cent to 28 per cent' (BBHA); digital-tool breakdown 'commission costs ranging from 24 per cent to 25 per cent'; plus 18% GST, 0.1% TDS, ~2% payment gateway; 'For a Rs 400 dish with packaging, restaurants receive approximately Rs 220'; NRAI antitrust case at CCI",MEDIA REPORT,The Week,https://www.theweek.in/news/biz-tech/2026/07/30/wont-take-orders-anymore-why-bengaluru-restaurants-are-threatening-to-boycott-zomato-swiggy.html,2026-07-30,2026-09-14,E49,verified,M,H2;H9,Restaurant-association figures (interested party). Mechanism for menu-price inflation on incumbents.
E49,Restaurant boycott deferral,"Bengaluru restaurant associations 'postponed their Swiggy and Zomato boycott to August 31'; demanded 'a cap of 22% commission for new partners'",MEDIA REPORT,NewsBytes / Oneindia (search-index),https://www.newsbytesapp.com/news/india/bengaluru-restaurants-delay-swiggy-and-zomato-boycott-to-august-31/tldr,2026-08,2026-09-14,E48,partially,M,H9,Outcome after Aug 31 not found. No equivalent Hyderabad/Telangana restaurant protest found in 2026 search.
E50,New entrant - Flipkart,"Flipkart food target 'Bengaluru by end-August 2026' via Flipkart Minutes; base commission '12-13%'; incumbents effective '30-40% per order once you stack commission, advertising and other charges'; tapping ONDC",MEDIA REPORT,Inc42,https://inc42.com/features/why-is-flipkart-joining-indias-food-delivery-renaissance/,2026-08-21,2026-09-14,E51,partially,M,H9,Bengaluru-first; no Hyderabad timeline found.
E51,New entrant - Flipkart,"'Flipkart is proposing a commission of 10%, which is well below the roughly 16% to 30% charged by existing food delivery platforms'; initial launch on ONDC",MEDIA REPORT,Business Standard (search-index; page 403),https://www.business-standard.com/companies/news/flipkart-set-to-enter-online-food-delivery-with-bengaluru-pilot-next-month-126072301389_1.html,2026-07-23,2026-09-14,E50,contradicted,M,H9,10% vs 12-13% (E50) - inconsistent. Search summary also mentions employee 'Eat In' pilot with rollout ~Sept 15 (retailintel.in) - unverified.
E52,Challenger - Magicpin financials,"Magicpin revenue (FY ending March 2024) 'Rs 879.6 crore'; net loss 'Rs 107.3 crore'",MEDIA REPORT,Whalesbook,https://www.whalesbook.com/news/English/technology/India-Food-Delivery-Ownly-Magicpin-Challenge-Swiggy-Zomato/6a7831fd73b576501a062c1e,2026-08-09,2026-09-14,,partially,M,H9,Dated financials.
E53,Challenger - Magicpin/ONDC volume,"Magicpin 'registering 150,000 orders daily in September 2024'; restaurants from '22,000 to 70,000'",MEDIA REPORT,Business Standard (search-index),https://www.business-standard.com/companies/start-ups/magicpin-largest-food-delivery-app-on-ondc-logs-150-000-orders-daily-124100800892_1.html,2024-10-08,2026-09-14,,partially,L,H9,STALE (2024). Current 2026 Magicpin volumes UNKNOWN.
E54,Rapido funding and footprint,"Rapido raised '$240 million' at '$3 billion valuation', led by Prosus, part of '$730 million primary and secondary financing'; operates in 'more than 400 cities'; entered food delivery 'through its subsidiary Ownly last year'",MEDIA REPORT,TechCrunch,https://techcrunch.com/2026/05/15/indian-uber-rival-rapido-raises-240m-at-3b-valuation/,2026-05-15,2026-09-14,E66,verified,H,H7,Supersedes the $2.3B figure in 16_. City count conflicts with '500+'/'600' elsewhere (E66).
E55,Rapido in Hyderabad,"'5.4 lakh active captains' in Hyderabad; '9.1 lakh daily rides'; co-founder: 'Hyderabad has become one of our largest livelihood markets'",COMPANY CLAIM,Prittle Prattle News,https://www.prittleprattlenews.com/news-desk/rapido-hyderabad-5-4-lakh-captains-daily-rides-livelihood-impact-2026/,2026-02-18,2026-09-14,,unverified,L,H7;H9,Company statements via low-tier outlet; no food-delivery mention. Confirms mobility presence; food-delivery capacity UNKNOWN.
E56,Rapido HQ,"Rapido 'established in 2015 in Bengaluru, Karnataka'; founders Aravind Sanka, Pavan Guntupalli, SR Rishikesh",FACT,Wikipedia - Rapido (company),https://en.wikipedia.org/wiki/Rapido_(company),live page,2026-09-14,E27,verified,M,H7,A search-engine summary wrongly said Rapido is 'based in Hyderabad' - rejected.
E57,Hyderabad food culture,"Hyderabad ordered '1.75 crore' biryanis on Swiggy in 2025; chicken biryani '1.08 crore'; veg dosa '39.9 lakh'; idli '34 lakh'",COMPANY CLAIM,Siasat (Swiggy 'How India Swiggy'd 2025'),https://www.siasat.com/hyderabad-the-biryani-capital-with-1-7-crore-orders-on-swiggy-in-2025-3322999/,2026-01-08,2026-09-14,E58,partially,M,H10,Swiggy PR data via media. One platform only.
E58,Hyderabad food culture,"Hyderabad biryani orders 'over 18 percent of all biryani orders across India' (Swiggy 2025); Hyderabad 'second-highest number of Bolt orders in India'",COMPANY CLAIM,Telangana Today / Deccan Chronicle (search-index),https://telanganatoday.com/hyderabads-2025-food-trends-revealed-biryani-tops-swiggy-charts,2025-12,2026-09-14,E57,partially,M,H3;H10,Bolt (10-minute food) popularity is relevant to ETA expectations - INTERPRETATION.
E59,Gachibowli context,"Gachibowli population '149,264' (2020) over 27.3 km2; institutions: University of Hyderabad, Maulana Azad National Urdu University, IIIT Hyderabad, TISS off-campus; functions as 'Financial District' and IT hub (Amazon, ICICI Bank)",FACT,Wikipedia - Gachibowli,https://en.wikipedia.org/wiki/Gachibowli,live page,2026-09-14,,partially,M,H6,Wikipedia; population basis unclear. ISB is in Gachibowli area per common knowledge but NOT in fetched text - verify separately.
E60,Hyderabad demographics/climate,"City population '6,809,970' (2011 Census); metro '9.7 million'; average annual rainfall '859.6' mm (1991-2020); monsoon 'between June and October'",FACT,Wikipedia - Hyderabad,https://en.wikipedia.org/wiki/Hyderabad,live page,2026-09-14,,verified,M,H3;H9,Census 2011 is dated; no 2026 official count.
E61,Bengaluru demographics/climate,"City population '8,443,675' (2011 Census); annual rainfall '1,077.8' mm; wettest month September",FACT,Wikipedia - Bangalore,https://en.wikipedia.org/wiki/Bangalore,live page,2026-09-14,,verified,M,H3;H9,Census 2011 dated.
E62,Hyderabad IT workforce,"Software industry in Telangana employed 'over 9.46 lakh professionals' (FY2024); Telangana IT exports 'Rs 3.13 lakh crore' (current period)",MEDIA REPORT,Wikipedia - Software industry in Telangana; Deccan Herald (search-index),https://en.wikipedia.org/wiki/Software_industry_in_Telangana,FY2024 / 2026,2026-09-14,,partially,M,H6;H9,State-level; Gachibowli share UNKNOWN. Bengaluru comparable figure not collected.
E63,Starbucks Australia analogy,"Starbucks closed three-quarters of Australian stores in mid-2008; causes include 'overestimated points of differentiation and perceived value of supplementary services' and 'expanded too quickly and forced themselves upon an unwilling public'",FACT,"Patterson, Scott & Uncles (2010) Australasian Marketing Journal 18(1):41-47",https://ideas.repec.org/a/eee/aumajo/v18y2010i1p41-47.html,2010,2026-09-14,E64,verified,H,H9,Peer-reviewed case paper (abstract accessed). doi:10.1016/j.ausmj.2009.10.001
