Theme Code,Theme Label,Theme Family,Documents,Mean Sentiment,Engagement Total,Engagement Docs
LARGE_ORDER_TRUST_RISK,Large Order Trust Risk,Trust & credibility,3,0.071,0,0
FREE_DELIVERY_PERCEPTION,Free Delivery Perception,Other,3,-0.079,0,0
INCUMBENT_SUPPORT_BAD,Incumbent Support Bad,Support & refunds,3,-0.506,0,0
RELIABILITY_OVER_PRICE,Reliability Over Price,Price — advantage,3,-0.014,0,0
RELIABILITY,Reliability,Other,3,-0.667,9,3
INCUMBENT_BETTER_EXPERIENCE,Incumbent Better Experience,Competitive framing,2,-0.736,1,1
CLEAN_APP_NO_UPSELL,Clean App No Upsell,Other,2,0.093,8,1
INCUMBENT_PRICE_OBSTACLE,Incumbent Price Obstacle,Price — advantage,2,-0.448,8,1
ANALYST_VIEW,Analyst View,Other,2,-0.134,176,2
DISCOVERY_UX_BASIC,Discovery Ux Basic,App & payments,2,-0.029,18,1
DAILY_FOOD_BUDGET_ANCHOR,Daily Food Budget Anchor,Other,2,0.167,0,0
MENU_MARKUP_EXPECTED_ON_OWNLY,Menu Markup Expected On Ownly,Price — advantage,2,0.0,0,0
DELIVERY_PROBLEMS_RECURRING,Delivery Problems Recurring,Other,2,-0.5,0,0
LISTING_MENU_ACCURACY,Listing Menu Accuracy,Assortment & coverage,2,-0.25,0,0
RIDER_COORDINATION_FAILURE,Rider Coordination Failure,Other,2,-0.125,0,0
RESTAURANT_CAPTURES_SAVINGS,Restaurant Captures Savings,Price — advantage,2,-0.555,0,0
NO_DISCOUNTS_ON_OWNLY,No Discounts On Ownly,Price — advantage,2,-0.471,0,0
LOW_AOV_ORDERING,Low Aov Ordering,Other,2,0.284,0,0
SMALL_CART_CANCELLATION_SUSPECTED,Small Cart Cancellation Suspected,Fulfilment failure,2,-0.55,0,0
SUPPORT_CLOSES_UNRESOLVED,Support Closes Unresolved,Support & refunds,2,-0.485,0,0
PAYMENT_DEDUCTED_ORDER_FAILED,Payment Deducted Order Failed,App & payments,2,-0.403,0,0
SUPPORT_WORKAROUND,Support Workaround,Support & refunds,2,0.0,0,0
ETA_DISPLAY_MISLEADING,Eta Display Misleading,Speed & ETA,2,-0.794,0,0
FORCED_RATING_UX,Forced Rating Ux,App & payments,2,-0.059,0,0
CHURN_ADVOCACY,Churn Advocacy,Buzz & advocacy,2,-0.071,0,0
LAUNCH_PROMOTION_OBSERVED,Launch Promotion Observed,Buzz & advocacy,2,0.492,0,0
COMPETITOR_FEE_CREEP_OBSERVED,Competitor Fee Creep Observed,Price — doubt,2,0.198,0,0
DISCOUNT_DRIVEN_ORDERING,Discount Driven Ordering,Price — advantage,2,0.471,0,0
LAUNCH_DISCOUNT_TEMPORARY,Launch Discount Temporary,Price — advantage,2,0.0,0,0
SUBSCRIPTION_ACCEPTABLE,Subscription Acceptable,Other,2,0.024,0,0
OWNLY_FEES_OBSERVED,Ownly Fees Observed,Price — advantage,2,-0.236,0,0
RAPIDO_BRAND_NEGATIVE_SPILLOVER,Rapido Brand Negative Spillover,Distribution & ecosystem,2,0.25,0,0
RESTAURANT_MULTI_PLATFORM_LISTING,Restaurant Multi Platform Listing,Assortment & coverage,2,0.294,0,0
SERVICE_RADIUS_LIMIT,Service Radius Limit,Other,2,-0.024,0,0
RESTAURANT_PLATFORM_BLAME_LOOP,Restaurant Platform Blame Loop,Assortment & coverage,2,-0.369,0,0
INCUMBENT_CHEAPER_CONDITIONAL,Incumbent Cheaper Conditional,Price — advantage,2,0.5,0,0
MARKUP_TOLERANCE_STATED,Markup Tolerance Stated,Price — advantage,2,0.289,0,0
MISLEADING_ADVERTISING_CONCERN,Misleading Advertising Concern,Other,2,0.059,0,0
NO_OWNLY_SUBSCRIPTION,No Ownly Subscription,Other,2,0.0,0,0
COMPETITOR_ALTERNATIVE_SUGGESTED,Competitor Alternative Suggested,Competitive framing,2,0.167,0,0
PROPOSITION_RECALL_NO_HIDDEN_COSTS,Proposition Recall No Hidden Costs,Price — advantage,2,0.713,0,0
INCUMBENT_FEE_DISTRUST,Incumbent Fee Distrust,Trust & credibility,2,-0.562,0,0
TOLERATE_CHALLENGER_HICCUPS,Tolerate Challenger Hiccups,Other,2,-0.075,0,0
LOCATION_DEPENDENT_RELIABILITY,Location Dependent Reliability,Other,2,-0.416,0,0
CREATOR_CREDIBILITY,Creator Credibility,Other,2,0.0,19,2
